timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted
0,0,0,0,0
2,84,0,0,0
3,124,0,0,0
4,164,0,0,0
5,200,4,0,0
7,236,12,0,0
8,284,20,0,0
10,304,32,0,0
11,324,48,0,0
12,308,76,0,0
14,276,108,0,0
15,232,152,0,0
17,192,192,0,0
18,160,224,0,0
20,124,260,0,0
21,92,292,0,0
23,60,324,0,0
24,20,364,0,0
26,0,384,0,0
27,0,384,0,0
29,0,384,0,0
30,0,384,0,0
32,0,384,0,0
33,0,384,0,0
35,0,384,0,0
36,0,384,0,0
38,0,384,0,0
39,0,384,0,0
41,0,384,0,0
42,0,384,0,0
44,0,384,0,0
45,0,384,0,0
47,0,384,0,0
48,0,384,0,0
50,0,384,0,0
51,0,384,0,0
53,0,384,0,0
54,0,384,0,0
56,0,384,0,0
57,0,384,0,0
59,0,384,0,0
60,0,384,0,0
62,0,384,0,0
63,0,384,0,0
65,0,384,0,0
66,0,384,0,0
68,0,384,0,0
69,0,384,0,0
71,0,384,0,0
72,0,384,0,0
74,0,384,0,0
75,0,384,0,0
77,0,384,0,0
78,0,384,0,0
80,0,384,0,0
81,0,384,0,0
83,0,384,0,0
84,0,384,0,0
86,0,384,0,0
87,0,384,0,0
89,0,384,0,0
91,0,384,0,0
92,12,384,0,0
94,100,384,0,0
95,148,384,0,0
97,204,384,0,0
99,264,384,0,0
101,324,384,0,0
102,384,384,0,0
104,384,384,0,0
106,384,384,0,0
108,384,384,0,0
110,384,384,0,0
111,384,384,0,0
113,384,384,0,0
115,384,384,0,0
117,384,384,0,0
119,384,384,0,0
120,384,384,0,0
122,384,384,0,0
124,384,384,0,0
126,384,384,0,0
128,384,384,0,0
129,384,384,0,0
131,384,384,0,0
133,384,384,0,0
135,384,384,0,0
137,384,384,0,0
139,384,384,0,0
140,384,384,0,0
142,384,384,0,0
144,384,384,0,0
146,384,384,0,0
147,384,384,0,0
149,384,384,0,0
151,384,384,0,0
153,384,384,0,0
155,384,384,0,0
157,384,384,0,0
158,384,384,0,0
160,384,384,0,0
162,384,384,0,0
164,384,384,0,0
166,384,384,0,0
167,384,384,0,0
169,384,384,0,0
171,384,384,0,0
173,384,384,0,0
175,384,384,0,0
176,384,384,0,0
178,384,384,0,0
180,384,384,0,0
182,384,384,0,0
184,384,384,0,0
185,384,372,12,0
187,384,332,52,0
189,384,300,84,0
191,384,244,140,0
193,372,232,164,0
194,372,220,176,0
196,364,192,212,0
198,356,164,248,0
200,340,148,280,0
202,336,128,304,0
204,336,128,304,0
205,308,136,324,0
207,280,144,344,0
209,260,140,368,0
211,220,164,384,0
213,200,184,384,0
215,168,216,384,0
217,128,256,384,0
219,108,276,384,0
221,76,308,384,0
223,16,368,384,0
225,0,384,384,0
227,0,384,384,0
229,0,384,384,0
231,0,384,384,0
233,0,384,384,0
235,0,384,384,0
236,0,384,384,0
238,0,384,384,0
240,0,384,384,0
242,0,384,384,0
244,0,384,384,0
246,0,384,384,0
248,0,384,384,0
250,0,384,384,0
252,0,384,384,0
254,0,384,384,0
256,0,384,384,0
258,0,384,384,0
260,0,384,384,0
262,0,384,384,0
264,0,384,384,0
266,0,384,384,0
268,0,384,384,0
270,0,384,384,0
272,0,384,384,0
274,0,384,384,0
276,0,384,384,0
278,0,384,384,0
280,0,384,384,0
282,0,384,384,0
284,0,384,384,0
285,0,384,384,0
287,0,384,384,0
289,0,384,384,0
291,0,384,384,0
293,0,384,384,0
295,0,384,384,0
297,0,384,384,0
299,0,384,384,0
301,0,384,384,0
303,0,384,384,0
305,0,384,384,0
307,0,384,384,0
309,0,384,384,0
311,0,384,384,0
313,0,384,384,0
315,0,384,384,0
317,0,384,384,0
319,0,384,384,0
321,0,384,384,0
323,0,384,384,0
325,0,384,384,0
327,0,384,384,0
329,0,384,384,0
331,0,384,384,0
333,0,384,384,0
334,0,384,384,0
336,0,384,384,0
338,0,384,384,0
340,0,384,384,0
342,0,384,384,0
344,0,384,384,0
346,0,384,384,0
348,0,384,384,0
350,0,384,384,0
352,0,384,384,0
354,0,384,384,0
356,0,384,384,0
358,0,384,384,0
360,0,384,384,0
362,0,384,384,0
364,0,384,384,0
366,0,384,384,0
368,0,384,384,0
370,0,380,388,0
372,0,348,420,0
374,0,340,428,0
376,0,336,432,0
378,0,288,480,0
380,0,240,528,0
382,0,228,540,0
384,0,228,540,0
386,0,220,548,0
388,0,176,592,0
390,0,108,660,0
392,0,92,676,0
394,0,88,680,0
396,0,88,680,0
398,0,24,744,0
400,0,0,768,0
