timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted,backfill_pending,backfill_running,backfill_completed,backfill_preempted
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,376,8,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,320,64,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,280,104,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,240,144,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,176,208,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,128,256,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,56,328,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,8,376,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
31,52,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
32,104,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
34,148,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
35,200,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
37,248,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
38,304,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
40,328,0,0,0,0,0,0,0,0,0,0,0,24,384,0,16
41,356,0,0,0,0,0,0,0,0,0,0,0,48,384,0,48
43,384,0,0,0,0,0,0,0,0,0,0,0,80,384,0,48
