,timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted,backfill_pending,backfill_running,backfill_completed,backfill_preempted,all_running
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0
3,4,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0
4,5,0,0,0,0,0,0,0,0,0,0,0,0,360,24,0,0,0
5,6,0,0,0,0,0,0,0,0,0,0,0,0,328,56,0,0,0
6,8,0,0,0,0,0,0,0,0,0,0,0,0,280,104,0,0,0
7,9,0,0,0,0,0,0,0,0,0,0,0,0,248,136,0,0,0
8,10,0,0,0,0,0,0,0,0,0,0,0,0,192,192,0,0,0
9,12,0,0,0,0,0,0,0,0,0,0,0,0,120,264,0,0,0
10,13,0,0,0,0,0,0,0,0,0,0,0,0,40,344,0,0,0
11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0
12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0
13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0
14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0
15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0
16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0
17,22,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0
18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0
19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0
20,26,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0
21,27,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0
22,29,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0
23,30,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0
24,32,84,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0
25,33,136,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0
26,35,184,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0
27,36,236,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0
28,38,284,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0
29,39,324,0,0,0,0,0,0,0,0,0,0,0,16,384,0,8,0
30,41,344,0,0,0,0,0,0,0,0,0,0,0,48,384,0,32,0
31,42,384,0,0,0,0,0,0,0,0,0,0,0,56,384,0,48,0
32,44,384,0,0,0,0,0,0,0,0,0,0,0,112,384,0,88,0
33,45,384,0,0,0,0,0,0,0,0,0,0,0,128,384,0,128,0
34,47,384,0,0,0,0,0,0,0,0,0,0,0,128,384,0,128,0
35,48,384,0,0,0,0,0,0,0,0,0,0,0,128,384,0,128,0
36,50,384,0,0,0,0,0,0,0,0,0,0,0,128,384,0,128,0
37,51,384,0,0,0,0,0,0,0,0,0,0,0,128,384,0,128,0
38,53,384,0,0,0,0,0,0,0,0,0,0,0,128,384,0,128,0
39,55,384,0,0,0,0,0,0,0,0,0,0,0,128,384,0,128,0
40,56,384,0,0,0,0,0,0,0,0,0,0,0,128,384,0,128,0
41,58,384,0,0,0,0,0,0,0,0,0,0,0,128,384,0,128,0
42,59,384,0,0,0,0,0,0,0,0,0,0,0,128,384,0,128,0
43,61,384,0,0,0,44,0,0,0,0,0,0,0,128,384,0,128,0
44,62,384,0,0,0,104,0,0,0,0,0,0,0,128,312,0,128,0
45,64,384,0,0,0,128,0,0,0,0,0,0,0,160,288,0,152,0
46,65,384,0,0,0,128,0,0,0,0,0,0,0,184,256,0,176,0
47,67,384,0,0,0,128,0,0,0,0,0,0,0,200,256,0,200,0
48,69,384,0,0,0,128,0,0,0,0,0,0,0,200,256,0,200,0
49,70,384,0,0,0,128,0,0,0,0,0,0,0,200,256,0,200,0
50,72,384,0,0,0,128,0,0,0,0,0,0,0,200,256,0,200,0
51,73,384,0,0,0,128,0,0,0,0,0,0,0,200,256,0,200,0
52,75,384,0,0,0,128,0,0,0,0,0,0,0,200,256,0,200,0
53,77,384,0,0,0,128,0,0,0,0,0,0,0,200,256,0,200,0
54,78,384,0,0,0,128,0,0,0,0,0,0,0,200,256,0,200,0
55,80,384,0,0,0,128,0,0,0,0,0,0,0,200,256,0,200,0
56,81,384,0,0,0,128,0,0,0,0,0,0,0,200,256,0,200,0
57,83,384,0,0,0,128,0,0,0,0,0,0,0,200,256,0,200,0
58,84,384,0,0,0,128,0,0,0,0,0,0,0,200,256,0,200,0
59,86,384,0,0,0,128,0,0,0,0,0,0,0,200,256,0,200,0
60,88,384,0,0,0,128,0,0,0,0,0,0,0,200,256,0,200,0
61,89,384,0,0,0,128,0,0,0,0,0,0,0,200,256,0,200,0
62,91,384,0,0,0,128,0,0,0,2,0,0,0,200,256,0,200,0
63,93,384,0,0,0,128,0,0,0,2,0,0,0,208,208,0,208,0
64,94,384,0,0,0,128,0,0,0,2,0,0,0,208,184,0,208,0
65,96,384,0,0,0,128,0,0,0,0,2,0,0,208,184,0,208,2
66,97,384,0,0,0,128,0,0,0,0,4,0,0,208,184,0,208,4
67,99,384,0,0,0,128,0,0,0,0,4,0,0,208,184,0,208,4
68,100,384,0,0,0,128,0,0,0,0,4,0,0,208,184,0,208,4
69,102,384,0,0,0,120,8,0,0,2,4,0,0,208,184,0,208,12
70,103,384,0,0,0,112,16,0,0,2,4,0,0,208,184,0,208,20
71,105,384,0,0,0,108,20,0,0,2,4,0,0,208,184,0,208,24
72,107,384,0,0,0,96,32,0,0,4,4,0,0,208,184,0,208,36
73,108,384,0,0,0,96,32,0,0,4,4,0,0,208,184,0,208,36
74,110,376,8,0,0,88,40,0,0,4,4,0,0,208,184,0,208,52
75,111,348,36,0,0,72,56,0,0,6,4,0,0,208,184,0,208,96
76,113,304,80,0,0,72,56,0,0,4,6,0,0,208,184,0,208,142
77,115,264,120,0,0,68,60,0,0,2,8,0,0,208,184,0,208,188
78,116,256,128,0,0,64,64,0,0,4,8,0,0,208,184,0,208,200
79,118,256,128,0,0,64,64,0,0,4,8,0,0,216,184,0,216,200
80,120,256,128,0,0,64,64,0,0,4,8,0,0,216,184,0,216,200
81,121,256,128,0,0,64,64,0,0,6,8,0,0,216,184,0,216,200
82,123,320,128,0,0,64,64,0,0,4,10,0,0,216,176,0,216,202
83,125,376,128,0,0,64,64,0,0,0,14,0,0,216,176,0,216,206
84,127,432,128,0,0,64,64,0,0,0,14,0,0,216,176,0,216,206
85,128,480,128,0,0,64,64,0,0,0,14,0,0,216,176,0,216,206
86,130,536,128,0,0,64,64,0,0,0,14,0,0,216,176,0,216,206
87,132,596,128,0,0,64,64,0,0,0,14,0,0,216,176,0,216,206
88,134,640,128,0,0,64,64,0,0,0,14,0,0,216,176,0,216,206
89,135,640,128,0,0,64,64,0,0,2,14,0,0,216,176,0,216,206
90,137,640,128,0,0,64,64,0,0,0,16,0,0,216,176,0,216,208
91,139,640,128,0,0,64,64,0,0,2,16,0,0,216,176,0,216,208
92,141,640,128,0,0,64,64,0,0,2,16,0,0,216,176,0,216,208
93,142,640,128,0,0,64,64,0,0,4,16,0,0,216,176,0,216,208
94,144,640,128,0,0,64,64,0,0,6,16,0,0,216,176,0,216,208
95,146,640,128,0,0,64,64,0,0,6,16,0,0,216,176,0,216,208
96,148,640,128,0,0,64,64,0,0,8,16,0,0,216,168,0,216,208
97,150,640,128,0,0,64,64,0,0,4,20,0,0,216,168,0,216,212
98,151,640,128,0,0,76,64,0,0,2,24,0,0,216,168,0,216,216
99,153,640,128,0,0,136,64,0,0,2,24,0,0,216,168,0,216,216
100,155,640,128,0,0,192,64,0,0,2,24,0,0,216,168,0,216,216
101,157,640,128,0,0,192,64,0,0,2,24,0,0,224,168,0,224,216
102,159,640,128,0,0,192,64,0,0,4,22,2,0,224,168,0,232,214
103,161,640,128,0,0,192,64,0,0,2,22,4,0,232,168,0,232,214
104,162,640,128,0,0,192,64,0,0,4,22,4,0,232,168,0,232,214
105,164,640,128,0,0,192,64,0,0,2,24,4,0,232,168,0,232,216
106,166,640,128,0,0,192,64,0,0,2,22,6,0,232,168,0,232,214
107,168,640,128,0,0,192,64,0,0,4,22,6,0,232,168,0,232,214
108,170,640,128,0,0,192,64,0,0,2,24,6,0,232,168,0,232,216
109,172,640,128,0,0,192,64,0,0,4,22,8,0,232,168,0,232,214
110,174,640,128,0,0,192,64,0,0,2,24,8,0,232,168,0,232,216
111,175,640,128,0,0,192,64,0,0,2,24,8,0,232,168,0,232,216
112,177,640,128,0,0,192,64,0,0,4,24,8,0,232,168,0,232,216
113,179,640,128,0,0,192,64,0,0,4,24,8,0,232,168,0,232,216
114,181,640,128,0,0,192,64,0,0,8,24,8,0,232,168,0,232,216
115,183,640,128,0,0,192,64,0,0,40,24,8,0,232,160,0,232,216
116,185,640,128,0,0,192,64,0,0,66,26,8,0,232,160,0,232,218
117,187,640,128,0,0,192,64,0,0,90,30,10,0,232,160,0,232,222
118,189,640,128,0,0,192,64,0,0,116,26,14,0,232,160,0,232,218
119,191,640,128,0,0,192,64,0,0,142,32,14,0,232,152,0,232,224
120,193,640,128,0,0,192,64,0,0,162,32,14,0,232,160,0,240,224
121,195,640,128,0,0,192,64,0,0,184,32,14,0,232,160,0,240,224
122,197,640,128,0,0,192,64,0,0,184,32,14,0,232,160,0,240,224
123,199,640,128,0,0,192,64,0,0,184,30,16,0,232,160,0,240,222
124,201,640,128,0,0,192,64,0,0,184,32,16,0,232,160,0,240,224
125,203,640,128,0,0,192,64,0,0,184,32,16,0,232,160,0,240,224
126,205,640,128,0,0,192,64,0,0,186,32,16,0,232,160,0,240,224
127,207,640,128,0,0,192,64,0,0,190,32,16,0,232,160,0,240,224
128,209,640,128,0,0,192,64,0,0,192,32,16,0,232,160,0,240,224
129,211,640,128,0,0,192,64,0,0,192,32,16,0,232,160,0,240,224
130,213,640,128,0,0,192,64,0,0,192,24,24,0,232,152,0,240,216
131,215,640,128,0,0,192,64,0,0,194,24,24,0,232,152,0,240,216
132,217,640,128,0,0,192,64,0,0,188,30,24,0,224,160,0,240,222
133,219,640,128,0,0,192,64,0,0,186,32,24,0,224,160,0,240,224
134,221,640,128,0,0,192,64,0,0,186,32,24,0,224,160,0,240,224
135,223,640,128,0,0,192,64,0,0,186,30,26,0,224,160,0,240,222
136,225,640,128,0,0,192,40,24,0,186,30,26,0,224,160,0,240,198
137,227,640,128,0,0,192,4,60,0,184,30,28,0,216,168,0,240,162
138,229,640,128,0,0,192,0,64,0,182,32,28,0,208,176,0,240,160
139,231,640,128,0,0,192,0,64,0,182,30,30,0,200,184,0,240,158
140,233,640,128,0,0,192,0,64,0,182,30,30,0,168,216,0,240,158
141,235,640,128,0,0,192,0,64,0,182,28,32,0,168,216,0,240,156
142,237,640,128,0,0,192,0,64,0,182,28,32,0,168,216,0,240,156
143,240,640,128,0,0,192,0,64,0,182,28,32,0,168,216,0,240,156
144,241,640,128,0,0,192,0,64,0,182,28,32,0,168,216,0,240,156
145,244,640,128,0,0,192,0,64,0,182,28,32,0,168,216,0,240,156
146,246,640,128,0,0,192,0,64,0,178,32,32,0,168,216,0,240,160
147,248,640,128,0,0,192,0,64,0,178,24,40,0,168,216,0,240,152
148,250,640,128,0,0,192,0,64,0,178,24,40,0,168,216,0,240,152
149,252,640,128,0,0,192,0,64,0,178,20,44,0,168,216,0,240,148
150,254,640,128,0,0,192,0,64,0,176,20,46,0,160,224,0,240,148
151,256,640,128,0,0,192,0,64,0,176,20,46,0,160,224,0,240,148
152,258,640,128,0,0,192,0,64,0,164,32,46,0,160,224,0,240,160
153,260,640,128,0,0,192,0,64,0,164,32,46,0,160,224,0,240,160
154,262,640,128,0,0,192,0,64,0,164,32,46,0,160,224,0,240,160
155,264,640,128,0,0,192,0,64,0,162,32,48,0,160,224,0,240,160
156,266,640,128,0,0,192,0,64,0,162,32,48,0,160,224,0,240,160
157,268,640,128,0,0,192,0,64,0,162,32,48,0,160,224,0,240,160
158,270,640,128,0,0,192,0,64,0,162,32,48,0,160,224,0,240,160
159,273,640,128,0,0,192,0,64,0,162,32,48,0,160,224,0,240,160
160,275,640,128,0,0,192,0,64,0,162,32,48,0,160,224,0,240,160
161,277,640,128,0,0,192,0,64,0,162,30,50,0,160,224,0,240,158
162,279,640,128,0,0,192,0,64,0,162,24,56,0,160,224,0,240,152
163,281,640,128,0,0,192,0,64,0,162,24,56,0,160,224,0,240,152
164,283,640,128,0,0,192,0,64,0,162,24,56,0,152,232,0,240,152
165,285,640,128,0,0,192,0,64,0,162,24,56,0,152,232,0,240,152
166,287,640,120,8,0,192,0,64,0,162,24,56,0,160,232,0,240,144
167,289,640,92,36,0,192,0,64,0,162,24,56,0,184,232,0,240,116
168,292,640,48,80,0,192,0,64,0,162,22,58,0,208,232,0,240,70
169,294,640,24,104,0,192,0,64,0,162,22,58,0,216,232,0,240,46
170,296,640,0,128,0,188,4,64,0,162,20,60,0,216,232,0,240,24
171,298,640,0,128,0,168,24,64,0,162,20,60,0,216,232,0,240,44
172,300,640,0,128,0,136,56,64,0,162,20,60,0,184,264,0,240,76
173,302,640,0,128,0,128,64,64,0,162,20,60,0,152,296,0,240,84
174,305,640,0,128,0,128,64,64,0,162,20,60,0,152,296,0,240,84
175,307,640,0,128,0,128,64,64,0,162,18,62,0,152,296,0,240,82
176,309,636,4,128,0,128,64,64,0,162,16,64,0,152,296,0,240,84
177,311,632,8,128,0,128,64,64,0,162,16,64,0,168,296,0,240,88
178,313,632,8,128,0,128,64,64,0,162,16,64,0,168,296,0,240,88
179,316,632,8,128,0,128,64,64,0,162,14,66,0,168,296,0,240,86
180,318,632,8,128,0,128,64,64,0,162,14,66,0,168,256,0,240,86
181,320,628,12,128,0,128,64,64,0,162,4,76,0,168,232,0,240,80
182,322,616,24,128,0,128,64,64,0,162,2,78,0,168,232,0,240,90
183,324,616,24,128,0,128,64,64,0,162,2,78,0,120,288,0,240,90
184,327,616,24,128,0,128,64,64,0,156,6,80,0,128,288,0,240,94
185,329,616,24,128,0,128,64,64,0,156,6,80,0,128,288,0,240,94
186,331,612,24,128,0,128,64,64,0,154,8,80,0,144,288,0,240,96
187,333,616,24,128,0,128,64,64,0,154,8,80,0,176,288,0,240,96
188,336,616,24,128,0,128,64,64,0,154,8,80,0,208,288,0,240,96
189,338,616,24,128,0,128,64,64,0,154,8,80,0,216,288,0,240,96
190,340,616,24,128,0,128,64,64,0,154,8,80,0,224,272,0,240,96
191,343,616,24,128,0,128,64,64,0,154,8,80,0,224,272,0,240,96
192,345,616,24,128,0,128,64,64,0,154,8,80,0,224,272,0,240,96
193,347,616,24,128,0,128,64,64,0,154,8,80,0,224,272,0,240,96
194,349,616,24,128,0,128,64,64,0,154,8,80,0,224,272,0,240,96
195,352,616,24,128,0,128,64,64,0,154,8,80,0,224,272,0,240,96
196,354,616,24,128,0,128,64,64,0,154,8,80,0,224,272,0,240,96
197,356,616,24,128,0,128,64,64,0,154,8,80,0,224,256,0,240,96
198,359,616,24,128,0,128,64,64,0,154,8,80,0,224,256,0,240,96
199,361,616,24,128,0,128,64,64,0,154,8,80,0,224,240,0,240,96
200,363,616,24,128,0,128,64,64,0,154,8,80,0,224,184,0,240,96
201,365,616,24,128,0,128,64,64,0,154,8,80,0,224,144,32,240,96
202,368,616,24,128,0,128,64,64,0,154,8,80,0,224,112,64,240,96
203,370,616,24,128,0,128,64,64,0,154,8,80,0,224,88,88,240,96
204,372,600,40,128,0,128,64,64,0,152,10,80,0,216,56,112,240,114
205,375,568,72,128,0,128,64,64,0,148,14,80,0,200,56,128,240,150
206,377,552,88,128,0,128,64,64,0,148,14,80,0,200,48,136,240,166
207,379,540,100,128,0,128,64,64,0,148,14,80,0,168,72,144,240,178
208,382,540,100,128,0,128,64,64,0,146,16,80,0,120,120,144,240,180
209,384,528,112,128,0,128,64,64,0,134,28,80,0,96,144,144,240,204
210,386,512,128,128,0,128,64,64,0,130,32,80,0,88,152,144,240,224
211,388,512,128,128,0,128,64,64,0,130,26,86,0,80,160,144,240,218
212,391,512,128,128,0,128,64,64,0,130,26,86,0,80,160,144,240,218
213,393,512,128,128,0,128,64,64,0,130,24,88,0,80,160,144,240,216
214,396,512,128,128,0,128,64,64,0,130,24,88,0,80,160,144,240,216
215,398,512,128,128,0,128,64,64,0,130,24,88,0,80,160,144,240,216
