,timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted,all_running
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,80,0,0,0,0,0,0,0,0,0,0,0,0
2,3,124,0,0,0,0,0,0,0,0,0,0,0,0
3,4,148,16,0,0,0,0,0,0,0,0,0,0,16
4,6,184,24,0,0,0,0,0,0,0,0,0,0,24
5,7,204,48,0,0,0,0,0,0,0,0,0,0,48
6,8,200,88,0,0,0,0,0,0,0,0,0,0,88
7,9,196,120,0,0,0,0,0,0,0,0,0,0,120
8,11,228,128,0,0,0,0,0,0,0,0,0,0,128
9,12,256,128,0,0,0,0,0,0,0,0,0,0,128
10,14,256,128,0,0,0,0,0,0,0,0,0,0,128
11,15,256,128,0,0,0,0,0,0,0,0,0,0,128
12,16,256,128,0,0,0,0,0,0,0,0,0,0,128
13,18,256,128,0,0,0,0,0,0,0,0,0,0,128
14,19,256,128,0,0,0,0,0,0,0,0,0,0,128
15,20,256,128,0,0,0,0,0,0,0,0,0,0,128
16,22,256,128,0,0,0,0,0,0,0,0,0,0,128
17,23,256,128,0,0,0,0,0,0,0,0,0,0,128
18,25,256,128,0,0,0,0,0,0,0,0,0,0,128
19,26,256,128,0,0,0,0,0,0,0,0,0,0,128
20,27,256,128,0,0,0,0,0,0,0,0,0,0,128
21,29,256,128,0,0,0,0,0,0,0,0,0,0,128
22,30,256,128,0,0,0,0,0,0,0,0,0,0,128
23,31,256,128,0,0,68,0,0,0,0,0,0,0,128
24,33,256,128,0,0,96,16,0,0,0,0,0,0,144
25,34,256,128,0,0,72,56,0,0,0,0,0,0,184
26,36,256,128,0,0,64,64,0,0,0,0,0,0,192
27,37,256,128,0,0,64,64,0,0,0,0,0,0,192
28,39,256,128,0,0,64,64,0,0,0,0,0,0,192
29,40,256,128,0,0,64,64,0,0,0,0,0,0,192
30,41,256,128,0,0,64,64,0,0,0,0,0,0,192
31,43,256,128,0,0,64,64,0,0,0,0,0,0,192
32,44,256,128,0,0,64,64,0,0,0,0,0,0,192
33,46,256,128,0,0,64,64,0,0,0,0,0,0,192
34,47,256,128,0,0,64,64,0,0,0,0,0,0,192
35,49,256,128,0,0,64,64,0,0,0,0,0,0,192
36,50,256,128,0,0,64,64,0,0,0,0,0,0,192
37,52,256,128,0,0,64,64,0,0,0,0,0,0,192
38,53,256,128,0,0,64,64,0,0,0,0,0,0,192
39,55,256,128,0,0,64,64,0,0,0,0,0,0,192
40,56,256,128,0,0,64,64,0,0,0,0,0,0,192
41,58,256,128,0,0,64,64,0,0,0,0,0,0,192
42,59,256,128,0,0,64,64,0,0,0,0,0,0,192
43,60,256,128,0,0,64,64,0,0,0,0,0,0,192
44,62,256,128,0,0,64,64,0,0,2,0,0,0,192
45,63,256,128,0,0,64,64,0,0,0,2,0,0,194
46,65,256,128,0,0,64,64,0,0,0,2,0,0,194
47,66,256,128,0,0,64,64,0,0,2,2,0,0,194
48,68,256,128,0,0,64,64,0,0,0,4,0,0,196
49,69,256,128,0,0,64,64,0,0,0,4,0,0,196
50,71,256,128,0,0,64,64,0,0,2,4,0,0,196
51,72,256,128,0,0,64,64,0,0,2,4,0,0,196
52,74,256,128,0,0,64,64,0,0,0,6,0,0,198
53,76,256,128,0,0,64,64,0,0,0,6,0,0,198
54,77,256,128,0,0,64,64,0,0,0,8,0,0,200
55,79,256,128,0,0,64,64,0,0,0,8,0,0,200
56,80,256,128,0,0,64,64,0,0,0,8,0,0,200
57,82,256,128,0,0,64,64,0,0,2,8,0,0,200
58,83,256,128,0,0,64,64,0,0,0,10,0,0,202
59,85,256,128,0,0,64,64,0,0,0,10,0,0,202
60,86,256,128,0,0,64,64,0,0,2,10,0,0,202
61,87,256,128,0,0,64,64,0,0,0,12,0,0,204
62,89,256,128,0,0,64,64,0,0,0,12,0,0,204
63,91,256,128,0,0,64,64,0,0,0,12,0,0,204
64,92,272,128,0,0,64,64,0,0,2,12,0,0,204
65,94,324,128,0,0,64,64,0,0,0,14,0,0,206
66,95,380,128,0,0,64,64,0,0,0,14,0,0,206
67,97,428,128,0,0,64,64,0,0,0,14,0,0,206
68,99,476,128,0,0,64,64,0,0,0,14,0,0,206
69,100,532,128,0,0,64,64,0,0,0,14,0,0,206
70,102,580,128,0,0,64,64,0,0,0,14,0,0,206
71,103,628,128,0,0,64,64,0,0,0,14,0,0,206
72,105,640,128,0,0,64,64,0,0,0,14,0,0,206
73,107,640,128,0,0,64,64,0,0,0,16,0,0,208
