experiment,run,tenant,total cores,total queue time,avg queue time,total job run time,total queue + job run time,workflow run time (makespan)
E4,1,tenant1,768,47166,246,34563,81729,737
E4,1,tenant2,256,6158,96,7683,13841,487
E4,1,tenant3,242,18702,155,7262,25964,410
E4,2,tenant1,768,51078,266,34561,85639,748
E4,2,tenant2,256,10224,160,7680,17904,494
E4,2,tenant3,242,17183,142,7261,24444,478
E4,3,tenant1,768,47096,245,34565,81661,752
E4,3,tenant2,256,7796,122,7680,15476,512
E4,3,tenant3,242,20333,168,7262,27595,498
E4,4,tenant1,768,46447,242,34561,81008,708
E4,4,tenant2,256,10288,161,7681,17969,494
E4,4,tenant3,242,13299,110,7262,20561,396
E4,5,tenant1,768,47208,246,34562,81770,742
E4,5,tenant2,256,5816,91,7680,13496,479
E4,5,tenant3,242,17246,143,7260,24506,476
