,timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted,all_running
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,84,0,0,0,0,0,0,0,0,0,0,0,0
2,2,124,0,0,0,0,0,0,0,0,0,0,0,0
3,3,164,0,0,0,0,0,0,0,0,0,0,0,0
4,5,200,4,0,0,0,0,0,0,0,0,0,0,4
5,6,240,12,0,0,0,0,0,0,0,0,0,0,12
6,8,280,24,0,0,0,0,0,0,0,0,0,0,24
7,9,300,36,0,0,0,0,0,0,0,0,0,0,36
8,10,332,48,0,0,0,0,0,0,0,0,0,0,48
9,12,316,68,0,0,0,0,0,0,0,0,0,0,68
10,13,280,104,0,0,0,0,0,0,0,0,0,0,104
11,15,248,136,0,0,0,0,0,0,0,0,0,0,136
12,16,212,172,0,0,0,0,0,0,0,0,0,0,172
13,18,176,208,0,0,0,0,0,0,0,0,0,0,208
14,19,140,244,0,0,0,0,0,0,0,0,0,0,244
15,20,96,288,0,0,0,0,0,0,0,0,0,0,288
16,22,48,336,0,0,0,0,0,0,0,0,0,0,336
17,24,12,372,0,0,0,0,0,0,0,0,0,0,372
18,25,0,384,0,0,0,0,0,0,0,0,0,0,384
19,27,0,384,0,0,0,0,0,0,0,0,0,0,384
20,28,0,384,0,0,0,0,0,0,0,0,0,0,384
21,30,0,384,0,0,0,0,0,0,0,0,0,0,384
22,31,0,384,0,0,76,0,0,0,0,0,0,0,384
23,33,0,384,0,0,124,0,0,0,0,0,0,0,384
24,35,36,384,0,20,128,0,0,0,0,0,0,0,384
25,36,60,384,0,56,128,0,0,0,0,0,0,0,384
26,38,92,384,0,80,128,0,0,0,0,0,0,0,384
27,40,116,384,0,112,128,0,0,0,0,0,0,0,384
28,41,140,384,0,140,128,0,0,0,0,0,0,0,384
29,43,176,384,0,160,128,0,0,0,0,0,0,0,384
30,45,200,384,0,196,128,0,0,0,0,0,0,0,384
31,46,228,384,0,220,128,0,0,0,0,0,0,0,384
32,48,252,384,0,252,128,0,0,0,0,0,0,0,384
33,50,252,384,0,252,128,0,0,0,0,0,0,0,384
34,51,252,384,0,252,128,0,0,0,0,0,0,0,384
35,53,252,384,0,252,128,0,0,0,0,0,0,0,384
36,55,252,384,0,252,128,0,0,0,0,0,0,0,384
37,57,252,384,0,252,128,0,0,0,0,0,0,0,384
38,59,252,384,0,252,128,0,0,0,0,0,0,0,384
39,61,252,384,0,252,128,0,0,0,2,0,0,0,384
40,62,256,332,0,256,128,0,0,0,2,0,0,0,332
41,64,256,304,0,256,128,0,0,0,2,0,0,0,304
42,66,256,276,0,256,128,0,0,0,4,0,0,0,276
43,68,256,260,0,256,128,0,0,0,4,0,0,0,260
44,69,256,244,0,256,128,0,0,0,4,0,0,0,244
45,71,256,220,0,256,128,0,0,0,6,0,0,0,220
46,72,256,208,0,256,124,4,0,0,6,0,0,0,212
47,74,256,200,0,256,120,8,0,0,6,0,0,0,208
48,76,256,188,0,256,108,20,0,0,8,0,0,0,208
49,77,252,180,0,256,104,24,0,0,6,2,0,0,206
50,79,240,184,0,256,84,44,0,0,6,2,0,0,230
51,81,236,172,0,256,84,44,0,0,8,2,0,0,218
52,82,232,168,0,256,76,52,0,0,6,4,0,0,224
53,84,220,172,0,256,52,76,0,0,6,4,0,0,252
54,85,212,176,0,256,44,84,0,0,4,6,0,0,266
55,87,192,196,0,256,28,100,0,0,4,8,0,0,304
56,89,184,204,0,256,4,124,0,0,0,12,0,0,340
57,90,164,224,0,256,0,128,0,0,0,12,0,0,364
58,92,216,224,0,256,0,128,0,0,2,12,0,0,364
59,94,264,236,0,256,0,128,0,0,0,14,0,0,378
60,96,320,236,0,256,0,128,0,0,0,14,0,0,378
61,98,392,236,0,256,0,128,0,0,0,14,0,0,378
62,100,448,236,0,256,0,128,0,0,0,14,0,0,378
63,102,508,236,0,256,0,128,0,0,0,14,0,0,378
64,104,532,236,0,256,0,128,0,0,2,16,0,0,380
65,106,532,236,0,256,0,128,0,0,2,18,0,0,382
66,108,532,236,0,256,0,128,0,0,0,20,0,0,384
67,110,532,236,0,256,0,128,0,0,0,20,0,0,384
68,112,532,236,0,256,0,128,0,0,2,20,0,0,384
69,114,536,236,0,256,0,128,0,0,2,20,0,0,384
70,116,536,236,0,256,0,128,0,0,2,20,0,0,384
71,118,536,236,0,256,0,128,0,0,4,20,0,0,384
72,120,536,236,0,256,0,128,0,0,4,20,0,0,384
73,122,536,236,0,256,84,128,0,0,6,20,0,0,384
74,124,540,236,0,256,128,128,0,0,6,20,0,0,384
75,126,540,236,0,256,128,128,0,0,8,20,0,0,384
76,128,540,236,0,256,128,128,0,0,8,20,0,0,384
77,130,540,236,0,256,128,128,0,0,8,20,0,0,384
78,133,540,236,0,256,128,128,0,0,10,16,4,0,380
79,135,548,236,0,256,128,128,0,0,10,14,6,0,378
80,137,548,236,0,256,128,128,0,0,12,14,6,0,378
81,139,556,236,0,256,128,128,0,0,12,14,6,0,378
82,141,556,236,0,256,128,128,0,0,12,12,8,0,376
83,143,556,232,0,256,128,128,0,0,14,12,8,0,372
84,146,556,232,0,256,128,128,0,0,14,10,10,0,370
85,148,556,232,0,256,128,128,0,0,14,12,10,0,372
86,150,556,232,0,256,128,128,0,0,14,12,10,0,372
87,152,556,228,0,256,128,128,0,0,48,10,12,0,366
88,155,556,228,0,256,128,128,0,0,84,12,12,0,368
