timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted
1,0,0,0,0,0,0,0,0,0,0,0,0
2,84,0,0,0,0,0,0,0,0,0,0,0
3,124,0,0,0,0,0,0,0,0,0,0,0
4,164,0,0,0,0,0,0,0,0,0,0,0
6,192,12,0,0,0,0,0,0,0,0,0,0
7,228,20,0,0,0,0,0,0,0,0,0,0
9,272,28,0,0,0,0,0,0,0,0,0,0
10,296,44,0,0,0,0,0,0,0,0,0,0
12,328,56,0,0,0,0,0,0,0,0,0,0
13,304,80,0,0,0,0,0,0,0,0,0,0
15,280,104,0,0,0,0,0,0,0,0,0,0
16,236,148,0,0,0,0,0,0,0,0,0,0
18,188,196,0,0,0,0,0,0,0,0,0,0
19,148,236,0,0,0,0,0,0,0,0,0,0
21,100,284,0,0,0,0,0,0,0,0,0,0
22,56,328,0,0,0,0,0,0,0,0,0,0
24,12,372,0,0,0,0,0,0,0,0,0,0
25,0,384,0,0,0,0,0,0,0,0,0,0
27,0,384,0,0,0,0,0,0,0,0,0,0
28,0,384,0,0,0,0,0,0,0,0,0,0
30,0,384,0,0,0,0,0,0,0,0,0,0
32,0,384,0,0,60,0,0,0,0,0,0,0
33,0,384,0,0,120,0,0,0,0,0,0,0
35,24,384,0,20,128,0,0,0,0,0,0,0
37,60,384,0,52,128,0,0,0,0,0,0,0
38,80,384,0,80,128,0,0,0,0,0,0,0
40,116,384,0,104,128,0,0,0,0,0,0,0
42,124,384,0,124,128,0,0,0,0,0,0,0
44,124,384,0,124,128,0,0,0,0,0,0,0
45,124,384,0,124,128,0,0,0,0,0,0,0
47,124,384,0,124,128,0,0,0,0,0,0,0
49,124,384,0,124,128,0,0,0,0,0,0,0
51,124,384,0,124,128,0,0,0,0,0,0,0
52,124,384,0,124,128,0,0,0,0,0,0,0
54,124,384,0,124,128,0,0,0,0,0,0,0
56,124,384,0,124,128,0,0,0,0,0,0,0
58,124,384,0,124,128,0,0,0,0,0,0,0
59,124,384,0,124,128,0,0,0,0,0,0,0
61,124,384,0,124,128,0,0,0,0,0,0,0
63,124,336,0,124,128,0,0,0,2,0,0,0
64,124,316,0,124,128,0,0,0,2,0,0,0
66,124,288,0,124,128,0,0,0,2,0,0,0
68,124,272,0,124,128,0,0,0,4,0,0,0
70,124,264,0,124,128,0,0,0,4,0,0,0
72,120,264,0,124,128,0,0,0,6,0,0,0
73,116,268,0,124,116,12,0,0,6,0,0,0
75,112,272,0,124,88,40,0,0,4,2,0,0
77,104,280,0,124,60,68,0,0,4,4,0,0
79,92,292,0,124,52,76,0,0,4,4,0,0
80,92,292,0,124,44,84,0,0,2,6,0,0
82,92,292,0,124,44,84,0,0,2,8,0,0
84,96,292,0,124,44,84,0,0,2,8,0,0
85,96,292,0,124,44,84,0,0,2,8,0,0
87,96,292,0,124,44,84,0,0,4,8,0,0
89,96,292,0,124,44,84,0,0,4,8,0,0
91,96,292,0,124,44,84,0,0,4,8,0,0
92,96,292,0,124,44,84,0,0,6,8,0,0
94,184,292,0,124,44,84,0,0,6,8,0,0
96,252,292,0,124,44,84,0,0,6,8,0,0
98,324,292,0,124,44,84,0,0,6,8,0,0
100,384,292,0,124,44,84,0,0,6,8,0,0
102,448,292,0,124,44,84,0,0,6,8,0,0
104,480,292,0,124,44,84,0,0,10,8,0,0
106,484,292,0,124,44,84,0,0,10,8,0,0
108,484,292,0,124,44,84,0,0,12,8,0,0
111,484,292,0,124,44,84,0,0,12,8,0,0
113,484,292,0,124,44,84,0,0,14,8,0,0
115,488,288,0,124,56,88,0,16,14,8,0,0
117,488,288,0,124,56,88,0,16,16,8,0,0
119,488,288,0,124,60,88,0,20,16,8,0,0
122,488,288,0,124,60,88,0,20,16,8,0,0
124,488,288,0,124,164,88,0,20,18,8,0,0
126,488,288,0,124,188,88,0,20,18,8,0,0
128,488,288,0,124,188,88,0,20,20,8,0,0
130,488,288,0,124,188,88,0,20,20,8,0,0
132,488,288,0,124,188,88,0,24,20,6,4,0
135,492,284,0,124,192,88,0,24,20,6,4,0
137,492,284,0,124,192,88,0,24,20,4,6,0
139,492,284,0,124,192,88,0,24,22,4,6,0
141,492,284,0,124,192,88,0,24,22,2,8,0
143,492,284,0,124,192,88,0,24,24,2,8,0
145,492,280,0,124,192,76,0,24,18,8,8,0
148,492,280,0,124,188,80,0,28,16,12,8,0
150,492,280,0,124,188,80,0,28,12,16,8,0
153,492,280,0,124,184,84,0,28,36,16,8,0
155,492,280,0,124,184,84,0,28,76,18,8,0
157,492,280,0,124,184,84,0,28,112,18,8,0
160,492,280,0,124,188,84,0,28,152,18,8,0
162,492,280,0,124,192,84,0,32,188,18,8,0
165,492,276,0,124,192,80,0,32,208,18,8,0
167,492,276,0,124,192,80,0,32,202,24,8,0
170,492,276,0,124,192,80,0,32,202,26,8,0
172,492,276,0,124,192,80,0,32,202,26,8,0
175,492,276,0,124,192,80,0,32,204,26,8,0
178,492,276,0,124,192,80,0,32,204,26,8,0
180,492,276,0,124,192,72,0,32,206,26,8,0
183,488,280,0,124,192,72,0,32,206,26,8,0
185,488,280,0,124,192,64,0,32,206,28,8,0
188,488,252,28,124,192,64,0,32,204,30,8,0
190,488,212,68,124,192,64,0,32,204,30,8,0
193,488,156,124,124,192,64,0,32,204,30,8,0
196,484,140,144,124,192,64,0,32,204,30,8,0
198,476,124,168,124,188,52,16,32,202,30,10,0
201,472,120,176,124,180,48,28,32,202,30,10,0
203,460,108,200,124,176,44,36,32,198,34,10,0
206,448,112,208,124,176,36,44,32,190,42,10,0
209,436,100,232,124,164,36,56,32,190,42,10,0
212,408,104,256,124,160,36,60,32,186,44,12,0
215,392,116,260,124,144,48,64,32,180,46,16,0
217,356,152,260,124,136,56,64,32,168,58,16,0
220,328,180,260,124,128,64,64,32,156,62,24,0
222,300,208,260,124,120,72,64,32,144,72,26,0
225,280,228,260,124,112,80,64,32,140,76,26,0
228,280,228,260,124,112,80,64,32,140,70,32,0
231,276,232,260,124,112,80,64,32,138,70,34,0
233,276,232,260,124,112,80,64,32,138,70,34,0
236,276,232,260,124,112,80,64,32,136,72,34,0
238,276,232,260,124,112,80,64,32,136,72,34,0
241,276,232,260,124,112,80,64,32,136,72,34,0
244,276,232,260,124,112,80,64,32,136,72,34,0
247,276,232,260,124,112,80,64,32,136,70,36,0
249,276,232,260,124,112,80,64,32,134,70,38,0
252,268,228,272,124,108,84,64,32,134,62,46,0
255,268,224,276,124,108,84,64,32,134,56,52,0
257,260,232,276,124,100,92,64,32,134,56,52,0
260,260,232,276,124,100,92,64,32,130,60,52,0
263,260,232,276,124,100,92,64,32,130,38,74,0
265,256,236,276,124,100,92,64,32,130,18,94,0
268,256,236,276,124,96,96,64,32,130,18,94,0
272,248,256,276,136,96,108,64,36,128,20,94,0
274,248,256,276,136,96,108,64,36,128,20,94,0
277,248,256,276,136,96,108,64,36,128,18,96,0
281,248,256,276,136,96,108,64,36,128,18,96,0
283,248,256,276,136,96,108,64,36,126,18,98,0
286,248,256,276,136,96,108,64,36,126,18,98,0
289,248,256,276,136,96,108,64,36,126,14,102,0
292,248,256,276,140,96,108,64,36,126,14,102,0
294,252,256,276,140,96,108,64,36,124,14,104,0
297,252,256,276,140,96,108,64,36,124,12,106,0
300,252,256,276,140,96,108,64,36,124,12,106,0
303,252,244,276,140,96,96,64,36,124,12,106,0
305,244,252,276,140,92,100,64,36,114,22,106,0
308,244,252,276,140,92,100,64,36,104,32,106,0
311,244,252,276,140,92,88,76,36,104,30,108,0
314,232,264,276,140,84,88,84,36,104,30,108,0
316,228,268,276,140,84,80,92,36,102,32,108,0
319,224,272,276,140,84,68,104,36,102,32,108,0
322,220,272,276,140,76,76,104,36,102,28,112,0
325,220,272,276,140,72,80,104,36,102,28,112,0
327,220,272,276,144,72,60,124,36,98,32,112,0
