timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted,backfill_pending,backfill_running,backfill_completed,backfill_preempted
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,320,8,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,368,16,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,336,48,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,288,96,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,248,136,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,216,168,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,176,208,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,104,280,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,32,352,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
31,64,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
32,108,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
34,156,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
35,208,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
37,252,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
38,288,0,0,0,0,0,0,0,0,0,0,0,24,384,0,16
40,308,0,0,0,0,0,0,0,0,0,0,0,48,384,0,48
41,352,0,0,0,0,0,0,0,0,0,0,0,56,384,0,56
