timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted
0,0,0,0,0,0,0,0,0,0,0,0,0
1,84,0,0,0,0,0,0,0,0,0,0,0
3,124,0,0,0,0,0,0,0,0,0,0,0
4,168,0,0,0,0,0,0,0,0,0,0,0
5,204,4,0,0,0,0,0,0,0,0,0,0
7,248,16,0,0,0,0,0,0,0,0,0,0
8,280,24,0,0,0,0,0,0,0,0,0,0
10,312,32,0,0,0,0,0,0,0,0,0,0
11,340,44,0,0,0,0,0,0,0,0,0,0
13,316,68,0,0,0,0,0,0,0,0,0,0
14,284,100,0,0,0,0,0,0,0,0,0,0
16,236,148,0,0,0,0,0,0,0,0,0,0
17,200,184,0,0,0,0,0,0,0,0,0,0
18,152,232,0,0,0,0,0,0,0,0,0,0
20,108,276,0,0,0,0,0,0,0,0,0,0
22,60,324,0,0,0,0,0,0,0,0,0,0
23,20,364,0,0,0,0,0,0,0,0,0,0
25,0,384,0,0,0,0,0,0,0,0,0,0
26,0,384,0,0,0,0,0,0,0,0,0,0
28,0,384,0,0,0,0,0,0,0,0,0,0
29,0,384,0,0,0,0,0,0,0,0,0,0
31,0,384,0,0,52,0,0,0,0,0,0,0
33,0,384,0,0,104,0,0,0,0,0,0,0
34,20,384,0,20,128,0,0,0,0,0,0,0
36,52,384,0,40,128,0,0,0,0,0,0,0
38,80,384,0,72,128,0,0,0,0,0,0,0
39,100,384,0,100,128,0,0,0,0,0,0,0
41,140,384,0,120,128,0,0,0,0,0,0,0
43,160,384,0,160,128,0,0,0,0,0,0,0
44,196,384,0,180,128,0,0,0,0,0,0,0
46,220,384,0,220,128,0,0,0,0,0,0,0
48,252,384,0,252,128,0,0,0,0,0,0,0
50,252,384,0,252,128,0,0,0,0,0,0,0
52,252,384,0,252,128,0,0,0,0,0,0,0
53,252,384,0,252,128,0,0,0,0,0,0,0
55,252,384,0,252,128,0,0,0,0,0,0,0
57,252,384,0,252,128,0,0,0,0,0,0,0
59,252,384,0,252,128,0,0,0,0,0,0,0
60,252,384,0,252,128,0,0,0,0,0,0,0
62,252,336,0,256,128,0,0,0,2,0,0,0
64,256,320,0,256,128,0,0,0,2,0,0,0
66,256,288,0,256,128,0,0,0,2,0,0,0
67,256,264,0,256,128,0,0,0,4,0,0,0
69,256,244,0,256,128,0,0,0,4,0,0,0
71,256,224,0,256,128,0,0,0,4,0,0,0
72,256,212,0,256,128,0,0,0,6,0,0,0
74,256,188,0,256,128,0,0,0,6,0,0,0
