timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted,backfill_pending,backfill_running,backfill_completed,backfill_preempted
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,312,16,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,352,32,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0,336,48,0,0
8,0,0,0,0,0,0,0,0,0,0,0,0,288,96,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,240,144,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,208,176,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,152,232,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,64,320,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,8,376,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
30,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
31,64,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
33,120,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
34,164,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
36,216,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
37,264,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0
39,316,0,0,0,0,0,0,0,0,0,0,0,16,384,0,0
40,340,0,0,0,0,0,0,0,0,0,0,0,32,384,0,24
42,376,0,0,0,0,0,0,0,0,0,0,0,48,384,0,48
44,384,0,0,0,0,0,0,0,0,0,0,0,96,384,0,88
45,384,0,0,0,0,0,0,0,0,0,0,0,160,384,0,128
47,384,0,0,0,0,0,0,0,0,0,0,0,168,384,0,168
