,timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted,all_running
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,84,0,0,0,0,0,0,0,0,0,0,0,0
2,3,124,0,0,0,0,0,0,0,0,0,0,0,0
3,4,160,4,0,0,0,0,0,0,0,0,0,0,4
4,6,204,4,0,0,0,0,0,0,0,0,0,0,4
5,7,252,12,0,0,0,0,0,0,0,0,0,0,12
6,9,272,32,0,0,0,0,0,0,0,0,0,0,32
7,10,300,40,0,0,0,0,0,0,0,0,0,0,40
8,12,324,60,0,0,0,0,0,0,0,0,0,0,60
9,13,296,88,0,0,0,0,0,0,0,0,0,0,88
10,15,260,124,0,0,0,0,0,0,0,0,0,0,124
11,16,232,152,0,0,0,0,0,0,0,0,0,0,152
12,18,204,180,0,0,0,0,0,0,0,0,0,0,180
13,20,160,224,0,0,0,0,0,0,0,0,0,0,224
14,21,112,272,0,0,0,0,0,0,0,0,0,0,272
15,23,68,316,0,0,0,0,0,0,0,0,0,0,316
16,24,24,360,0,0,0,0,0,0,0,0,0,0,360
17,26,0,384,0,0,0,0,0,0,0,0,0,0,384
18,27,0,384,0,0,0,0,0,0,0,0,0,0,384
19,29,0,384,0,0,0,0,0,0,0,0,0,0,384
20,31,0,384,0,0,0,0,0,0,0,0,0,0,384
21,32,0,384,0,0,84,0,0,0,0,0,0,0,384
22,34,12,384,0,0,128,0,0,0,0,0,0,0,384
23,36,40,384,0,32,128,0,0,0,0,0,0,0,384
24,37,60,384,0,60,128,0,0,0,0,0,0,0,384
25,39,100,384,0,92,128,0,0,0,0,0,0,0,384
26,41,120,384,0,120,128,0,0,0,0,0,0,0,384
27,43,136,384,0,136,128,0,0,0,0,0,0,0,384
28,44,136,384,0,136,128,0,0,0,0,0,0,0,384
29,46,136,384,0,136,128,0,0,0,0,0,0,0,384
30,48,136,384,0,136,128,0,0,0,0,0,0,0,384
31,50,136,384,0,136,128,0,0,0,0,0,0,0,384
32,51,136,384,0,136,128,0,0,0,0,0,0,0,384
33,53,136,384,0,136,128,0,0,0,0,0,0,0,384
34,55,136,384,0,136,128,0,0,0,0,0,0,0,384
35,57,136,384,0,136,128,0,0,0,0,0,0,0,384
36,58,136,384,0,136,128,0,0,0,0,0,0,0,384
37,60,136,384,0,136,128,0,0,0,0,0,0,0,384
38,62,136,384,0,136,128,0,0,0,2,0,0,0,384
39,64,136,328,0,136,128,0,0,0,2,0,0,0,328
40,65,136,304,0,136,128,0,0,0,2,0,0,0,304
41,67,136,284,0,136,128,0,0,0,4,0,0,0,284
42,69,136,280,0,136,128,0,0,0,4,0,0,0,280
43,70,136,264,0,136,128,0,0,0,4,0,0,0,264
44,72,132,264,0,136,116,12,0,0,4,2,0,0,278
45,73,128,264,0,136,112,16,0,0,2,4,0,0,284
46,75,120,268,0,136,96,32,0,0,2,4,0,0,304
47,77,116,272,0,136,80,48,0,0,4,4,0,0,324
48,78,112,276,0,136,64,64,0,0,4,4,0,0,344
49,80,96,292,0,136,56,72,0,0,0,8,0,0,372
50,82,96,292,0,136,44,84,0,4,2,8,0,0,384
51,84,96,292,0,136,48,84,0,4,2,8,0,0,384
52,85,96,292,0,136,48,84,0,4,2,8,0,0,384
53,87,96,292,0,136,48,84,0,4,4,8,0,0,384
54,89,96,292,0,136,48,84,0,4,4,8,0,0,384
55,90,96,292,0,136,48,84,0,4,4,8,0,0,384
56,92,96,292,0,136,48,84,0,4,6,8,0,0,384
57,94,180,292,0,136,48,84,0,4,6,8,0,0,384
58,96,240,292,0,136,48,84,0,4,6,8,0,0,384
59,98,300,292,0,136,48,84,0,4,6,8,0,0,384
60,100,368,292,0,136,48,84,0,4,6,8,0,0,384
61,102,436,292,0,136,48,84,0,4,6,8,0,0,384
62,104,480,288,0,136,48,88,0,8,10,8,0,0,384
63,106,480,288,0,136,52,88,0,12,10,8,0,0,384
64,108,480,288,0,136,52,88,0,12,12,8,0,0,384
65,110,480,288,0,136,52,88,0,12,12,8,0,0,384
66,112,480,288,0,136,52,88,0,12,12,8,0,0,384
67,114,480,288,0,136,52,88,0,12,14,8,0,0,384
68,116,480,288,0,136,52,88,0,12,14,8,0,0,384
69,118,488,288,0,136,52,88,0,12,16,8,0,0,384
70,120,496,288,0,136,52,88,0,12,16,8,0,0,384
71,122,496,288,0,136,52,88,0,12,18,8,0,0,384
72,124,496,288,0,136,156,88,0,12,18,8,0,0,384
73,126,496,288,0,136,180,88,0,12,18,8,0,0,384
74,128,496,288,0,136,180,88,0,12,20,8,0,0,384
75,131,496,288,0,136,180,88,0,12,20,8,0,0,384
76,133,496,292,0,140,180,88,0,12,22,4,4,0,384
77,135,496,292,0,140,180,80,0,12,22,4,4,0,376
78,137,496,292,0,140,180,80,0,12,22,6,4,0,378
79,139,496,292,0,140,180,80,0,12,22,4,6,0,376
80,142,496,292,0,140,180,80,0,12,22,2,8,0,374
81,144,496,292,0,140,180,80,0,12,20,6,8,0,378
82,146,496,288,0,140,180,76,0,12,18,8,8,0,372
83,149,496,280,0,140,176,80,0,12,18,10,8,0,370
84,151,496,280,0,140,172,84,0,12,14,14,8,0,378
85,154,496,280,0,140,168,88,0,12,56,16,8,0,384
86,156,496,280,0,140,168,88,0,12,96,16,8,0,384
87,158,496,280,0,140,168,88,0,12,134,16,8,0,384
88,161,496,280,0,140,172,88,0,12,170,16,8,0,384
89,163,500,276,0,140,184,88,0,20,198,16,8,0,380
90,166,504,276,0,140,200,88,0,36,210,16,8,0,380
91,168,504,276,0,140,200,88,0,36,210,16,8,0,380
92,171,504,276,0,140,200,88,0,36,212,16,8,0,380
93,174,504,276,0,140,200,88,0,36,212,16,8,0,380
