,timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted,all_running
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,84,0,0,0,0,0,0,0,0,0,0,0,0
2,2,124,0,0,0,0,0,0,0,0,0,0,0,0
3,4,168,0,0,0,0,0,0,0,0,0,0,0,0
4,5,208,0,0,0,0,0,0,0,0,0,0,0,0
5,6,252,0,0,0,0,0,0,0,0,0,0,0,0
6,8,300,0,0,0,0,0,0,0,0,0,0,0,0
7,9,332,16,0,0,0,0,0,0,0,0,0,0,16
8,11,360,24,0,0,0,0,0,0,0,0,0,0,24
9,12,344,40,0,0,0,0,0,0,0,0,0,0,40
10,14,332,52,0,0,0,0,0,0,0,0,0,0,52
11,15,316,68,0,0,0,0,0,0,0,0,0,0,68
12,17,292,92,0,0,0,0,0,0,0,0,0,0,92
13,18,252,132,0,0,0,0,0,0,0,0,0,0,132
14,20,224,160,0,0,0,0,0,0,0,0,0,0,160
15,21,184,200,0,0,0,0,0,0,0,0,0,0,200
16,23,144,240,0,0,0,0,0,0,0,0,0,0,240
17,24,96,288,0,0,0,0,0,0,0,0,0,0,288
18,26,48,336,0,0,0,0,0,0,0,0,0,0,336
19,27,8,376,0,0,0,0,0,0,0,0,0,0,376
20,29,0,384,0,0,0,0,0,0,0,0,0,0,384
21,30,0,384,0,0,0,0,0,0,0,0,0,0,384
22,32,0,384,0,0,96,0,0,0,0,0,0,0,384
23,34,0,384,0,0,128,0,0,0,0,0,0,0,384
24,35,12,384,0,12,128,0,0,0,0,0,0,0,384
25,37,12,384,0,12,128,0,0,0,0,0,0,0,384
26,39,12,372,0,12,128,0,0,0,0,0,0,0,372
27,40,24,372,0,24,124,4,0,0,0,0,0,0,376
28,42,24,372,0,24,116,12,0,0,0,0,0,0,384
29,44,32,360,0,36,112,16,0,0,0,0,0,0,376
30,45,36,360,0,36,112,16,0,0,0,0,0,0,376
31,47,36,348,0,40,112,16,0,0,0,0,0,0,364
32,49,48,348,0,48,104,24,0,0,0,0,0,0,372
33,50,48,348,0,48,104,24,0,0,0,0,0,0,372
34,52,56,336,0,60,104,24,0,0,0,0,0,0,360
35,54,60,336,0,60,104,24,0,0,0,0,0,0,360
36,55,60,328,0,64,104,24,0,0,0,0,0,0,352
37,57,72,324,0,72,80,48,0,0,0,0,0,0,372
38,58,72,324,0,72,80,48,0,0,0,0,0,0,372
39,60,72,312,0,72,80,48,0,0,0,0,0,0,360
40,62,72,312,0,72,80,48,0,0,2,0,0,0,360
41,63,72,312,0,72,80,48,0,0,2,0,0,0,360
42,65,72,312,0,72,80,48,0,4,2,0,0,0,360
43,67,72,312,0,72,60,68,0,4,2,2,0,0,382
44,68,72,312,0,72,60,68,0,4,2,2,0,0,382
45,70,72,312,0,72,60,68,0,4,0,4,0,0,384
46,72,72,312,0,72,60,68,0,4,2,4,0,0,384
47,73,72,312,0,72,60,68,0,4,2,4,0,0,384
48,75,72,312,0,72,60,68,0,8,2,4,0,0,384
49,77,72,312,0,72,64,68,0,8,4,4,0,0,384
50,78,72,312,0,72,64,64,0,8,4,4,0,0,380
51,80,72,312,0,72,64,64,0,8,0,8,0,0,384
52,82,72,312,0,72,64,64,0,8,2,8,0,0,384
53,83,72,312,0,72,64,64,0,8,2,8,0,0,384
54,85,72,312,0,76,64,64,0,8,2,8,0,0,384
55,87,76,312,0,76,64,64,0,8,4,8,0,0,384
56,88,76,308,0,76,64,64,0,8,4,8,0,0,380
57,90,76,308,0,76,64,64,0,8,0,12,0,0,384
58,92,76,308,0,76,64,64,0,8,2,12,0,0,384
59,94,164,308,0,76,64,64,0,8,2,12,0,0,384
60,95,224,308,0,76,64,64,0,8,2,12,0,0,384
61,97,284,308,0,76,64,64,0,8,2,12,0,0,384
62,99,352,304,0,76,64,64,0,8,0,14,0,0,382
63,101,416,304,0,76,64,64,0,8,0,14,0,0,382
64,103,464,304,0,80,64,64,0,8,4,14,0,0,382
65,105,464,304,0,80,64,64,0,8,4,14,0,0,382
66,107,464,304,0,84,64,64,0,8,6,14,0,0,382
67,109,468,304,0,84,64,64,0,8,4,16,0,0,384
68,111,472,300,0,88,64,64,0,8,6,16,0,0,380
69,113,472,300,0,88,64,64,0,8,2,20,0,0,384
70,115,472,296,0,88,64,64,0,12,2,20,0,0,380
71,117,472,296,0,88,68,64,0,12,4,20,0,0,380
72,119,472,296,0,88,68,60,0,12,4,20,0,0,376
73,121,472,296,0,88,68,60,0,12,2,24,0,0,380
74,123,472,296,0,88,160,64,0,12,2,24,0,0,384
75,125,472,296,0,92,192,64,0,12,2,24,0,0,384
76,128,476,296,0,92,192,64,0,12,4,24,0,0,384
77,130,476,292,0,92,192,64,0,12,4,22,2,0,378
78,132,476,292,0,92,192,64,0,12,2,26,2,0,382
79,134,476,292,0,92,192,64,0,12,2,24,4,0,380
80,136,476,292,0,92,196,64,0,16,2,24,4,0,380
81,138,476,292,0,92,196,64,0,16,4,24,4,0,380
82,140,476,292,0,92,196,60,0,16,2,26,4,0,378
83,142,476,292,0,92,192,64,0,16,2,26,6,0,382
84,144,476,292,0,92,192,64,0,16,2,24,8,0,380
85,146,476,292,0,92,192,64,0,20,4,24,8,0,380
86,149,476,292,0,92,192,64,0,20,2,26,8,0,382
87,151,476,292,0,92,192,64,0,20,0,28,8,0,384
88,153,476,292,0,92,192,64,0,20,48,24,12,0,380
