,timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted,backfill_pending,backfill_running,backfill_completed,backfill_preempted,all_running
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0
3,4,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0
4,5,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0
5,7,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0
6,8,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,0,0
7,9,0,0,0,0,0,0,0,0,0,0,0,0,352,32,0,0,32
8,11,0,0,0,0,0,0,0,0,0,0,0,0,312,72,0,0,72
9,12,0,0,0,0,0,0,0,0,0,0,0,0,240,144,0,0,144
10,13,0,0,0,0,0,0,0,0,0,0,0,0,144,240,0,0,240
11,15,0,0,0,0,0,0,0,0,0,0,0,0,88,296,0,0,296
12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
22,29,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
23,31,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
24,32,84,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
25,33,128,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
26,35,176,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
27,37,228,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
28,38,280,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
29,40,328,4,0,0,0,0,0,0,0,0,0,0,0,360,0,0,364
30,41,380,4,0,0,0,0,0,0,0,0,0,0,8,360,0,0,364
31,43,360,24,0,0,0,0,0,0,0,0,0,0,48,336,0,48,360
32,45,352,32,0,0,0,0,0,0,0,0,0,0,72,336,0,72,368
33,46,352,32,0,0,0,0,0,0,0,0,0,0,72,336,0,72,368
34,48,352,32,0,0,0,0,0,0,0,0,0,0,88,312,0,96,344
35,50,324,60,0,0,0,0,0,0,0,0,0,0,96,312,0,96,372
