experiment,run,tenant,total cores,total queue time,avg queue time,total job run time,total queue + job run time,workflow run time (makespan)
E5,5,tenant1,768,23429,122,34563,57992,633
E5,5,tenant2,256,23809,372,7680,31489,608
E5,5,tenant3,242,35943,297,7262,43205,518
E5,5,backfill,384,29820,621,17281,47101,1036
E5,3,tenant1,768,23357,122,34561,57918,695
E5,3,tenant2,256,23642,369,7680,31322,566
E5,3,tenant3,242,37339,309,7261,44600,547
E5,3,backfill,384,29715,619,17280,46995,1089
E5,1,tenant1,768,31413,164,34572,65985,680
E5,1,tenant2,256,17752,277,7680,25432,591
E5,1,tenant3,242,25603,212,7263,32866,500
E5,1,backfill,384,30192,629,17283,47475,1077
E5,2,tenant1,768,29551,154,34561,64112,616
E5,2,tenant2,256,17584,275,7681,25265,580
E5,2,tenant3,242,36064,298,7262,43326,574
E5,2,backfill,384,30084,627,17280,47364,1035
E5,4,tenant1,768,27660,144,34562,62222,702
E5,4,tenant2,256,17918,280,7680,25598,656
E5,4,tenant3,242,39882,330,7261,47143,567
E5,4,backfill,384,30160,628,17280,47440,1105
