,timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted,backfill_pending,backfill_running,backfill_completed,backfill_preempted,all_running
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,160,0,0,0,0
2,2,0,0,0,0,0,0,0,0,0,0,0,0,232,0,0,0,0
3,4,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,0,0
4,5,0,0,0,0,0,0,0,0,0,0,0,0,376,8,0,0,8
5,6,0,0,0,0,0,0,0,0,0,0,0,0,328,56,0,0,56
6,7,0,0,0,0,0,0,0,0,0,0,0,0,288,96,0,0,96
7,9,0,0,0,0,0,0,0,0,0,0,0,0,264,120,0,0,120
8,10,0,0,0,0,0,0,0,0,0,0,0,0,208,176,0,0,176
9,11,0,0,0,0,0,0,0,0,0,0,0,0,144,240,0,0,240
10,12,0,0,0,0,0,0,0,0,0,0,0,0,72,312,0,0,312
11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
13,16,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
16,20,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
17,21,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
18,23,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
19,24,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
20,25,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
21,27,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
22,28,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
23,29,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
24,31,52,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
25,32,104,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
26,33,148,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
27,35,196,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
28,36,248,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
29,38,276,0,0,0,0,0,0,0,0,0,0,0,24,384,0,8,384
30,39,304,0,0,0,0,0,0,0,0,0,0,0,48,384,0,40,384
31,41,348,0,0,0,0,0,0,0,0,0,0,0,56,384,0,56,384
32,43,384,0,0,0,0,0,0,0,0,0,0,0,72,384,0,64,384
33,44,384,0,0,0,0,0,0,0,0,0,0,0,136,384,0,112,384
34,46,384,0,0,0,0,0,0,0,0,0,0,0,192,384,0,176,384
35,47,384,0,0,0,0,0,0,0,0,0,0,0,232,384,0,224,384
36,49,384,0,0,0,0,0,0,0,0,0,0,0,288,384,0,288,384
37,51,384,0,0,0,0,0,0,0,0,0,0,0,296,384,0,296,384
38,52,384,0,0,0,0,0,0,0,0,0,0,0,320,384,0,320,384
39,54,384,0,0,0,0,0,0,0,0,0,0,0,344,384,0,352,384
40,56,384,0,0,0,0,0,0,0,0,0,0,0,368,384,0,376,384
41,57,384,0,0,0,0,0,0,0,0,0,0,0,384,384,0,384,384
42,59,384,0,0,0,0,0,0,0,0,0,0,0,384,384,0,384,384
43,61,384,0,0,0,48,0,0,0,0,0,0,0,384,384,0,384,384
44,63,384,0,0,0,108,0,0,0,0,0,0,0,384,312,0,384,312
45,65,384,0,0,0,128,0,0,0,0,0,0,0,384,256,0,384,256
46,66,384,0,0,0,128,0,0,0,0,0,0,0,384,232,0,384,232
47,68,384,0,0,0,128,0,0,0,0,0,0,0,384,192,0,384,192
48,70,384,0,0,0,128,0,0,0,0,0,0,0,384,184,0,384,184
49,72,384,0,0,0,128,0,0,0,0,0,0,0,384,176,0,384,176
50,73,384,0,0,0,128,0,0,0,0,0,0,0,384,136,0,384,136
51,75,384,0,0,0,128,0,0,0,0,0,0,0,384,128,0,384,128
52,77,384,0,0,0,128,0,0,0,0,0,0,0,384,112,0,384,112
53,78,384,0,0,0,128,0,0,0,0,0,0,0,384,104,0,384,104
54,80,384,0,0,0,128,0,0,0,0,0,0,0,384,96,0,384,96
55,82,384,0,0,0,128,0,0,0,0,0,0,0,384,80,0,384,80
56,83,384,0,0,0,128,0,0,0,0,0,0,0,384,56,0,384,56
57,85,384,0,0,0,128,0,0,0,0,0,0,0,384,24,0,384,24
58,87,384,0,0,0,128,0,0,0,0,0,0,0,384,8,0,384,8
59,88,384,0,0,0,128,0,0,0,0,0,0,0,384,0,0,384,0
60,90,372,12,0,0,128,0,0,0,0,0,0,0,384,0,0,384,12
61,92,368,16,0,0,128,0,0,0,2,0,0,0,384,0,0,384,16
62,93,360,24,0,0,128,0,0,0,2,0,0,0,384,0,0,384,24
63,95,348,36,0,0,128,0,0,0,2,0,0,0,384,0,0,384,36
64,97,328,56,0,0,128,0,0,0,4,0,0,0,384,0,0,384,56
65,98,308,76,0,0,128,0,0,0,4,0,0,0,384,0,0,384,76
66,100,288,96,0,0,128,0,0,0,4,0,0,0,384,0,0,384,96
67,102,252,132,0,0,128,0,0,0,6,0,0,0,384,0,0,384,132
68,104,216,168,0,0,128,0,0,0,6,0,0,0,384,0,0,384,168
69,105,180,204,0,0,128,0,0,0,6,0,0,0,384,0,0,384,204
70,107,132,252,0,0,128,0,0,0,8,0,0,0,384,0,0,384,252
71,109,84,300,0,0,128,0,0,0,8,0,0,0,384,0,0,384,300
72,111,40,344,0,0,128,0,0,0,8,0,0,0,384,0,0,384,344
73,113,20,364,0,0,128,0,0,0,10,0,0,0,384,0,0,384,364
74,114,4,380,0,0,124,4,0,0,10,0,0,0,384,0,0,384,384
75,116,4,380,0,0,124,4,0,0,12,0,0,0,384,0,0,384,384
76,118,4,380,0,0,124,4,0,0,12,0,0,0,384,0,0,384,384
77,120,4,380,0,0,124,4,0,0,12,0,0,0,384,0,0,384,384
78,122,4,380,0,0,124,4,0,0,14,0,0,0,384,0,0,384,384
79,124,88,380,0,0,124,4,0,0,14,0,0,0,384,0,0,384,384
80,126,152,380,0,0,124,4,0,0,14,0,0,0,384,0,0,384,384
81,127,220,380,0,0,124,4,0,0,14,0,0,0,384,0,0,384,384
82,130,288,380,0,0,124,4,0,0,14,0,0,0,384,0,0,384,384
83,132,352,380,0,0,124,4,0,0,14,0,0,0,384,0,0,384,384
84,134,388,380,0,0,124,4,0,0,18,0,0,0,384,0,0,384,384
85,136,388,380,0,0,124,4,0,0,18,0,0,0,384,0,0,384,384
86,138,388,380,0,0,124,4,0,0,20,0,0,0,384,0,0,384,384
87,140,388,380,0,0,124,4,0,0,20,0,0,0,384,0,0,384,384
88,142,388,380,0,0,124,4,0,0,22,0,0,0,384,0,0,384,384
89,144,388,380,0,0,124,4,0,0,22,0,0,0,384,0,0,384,384
90,147,388,380,0,0,124,4,0,0,24,0,0,0,384,0,0,384,384
91,149,388,380,0,0,124,4,0,0,24,0,0,0,384,0,0,384,384
92,151,388,380,0,0,124,4,0,0,24,0,0,0,384,0,0,384,384
93,153,388,380,0,0,220,4,0,0,26,0,0,0,384,0,0,384,384
94,156,388,380,0,0,252,4,0,0,26,0,0,0,384,0,0,384,384
95,158,388,380,0,0,252,4,0,0,28,0,0,0,384,0,0,384,384
96,160,388,380,0,0,252,4,0,0,28,0,0,0,384,0,0,384,384
97,162,388,380,0,0,252,4,0,0,30,0,0,0,384,0,0,384,384
98,164,388,380,0,0,252,4,0,0,30,0,0,0,384,0,0,384,384
99,166,388,380,0,0,252,4,0,0,32,0,0,0,384,0,0,384,384
100,169,388,380,0,0,252,4,0,0,32,0,0,0,384,0,0,384,384
101,171,388,380,0,0,252,4,0,0,32,0,0,0,384,0,0,384,384
