,timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted,backfill_pending,backfill_running,backfill_completed,backfill_preempted,all_running
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0,0,240,0,0,0,0
3,4,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0
4,5,0,0,0,0,0,0,0,0,0,0,0,0,376,8,0,0,8
5,7,0,0,0,0,0,0,0,0,0,0,0,0,344,40,0,0,40
6,8,0,0,0,0,0,0,0,0,0,0,0,0,288,96,0,0,96
7,9,0,0,0,0,0,0,0,0,0,0,0,0,240,144,0,0,144
8,11,0,0,0,0,0,0,0,0,0,0,0,0,192,192,0,0,192
9,12,0,0,0,0,0,0,0,0,0,0,0,0,128,256,0,0,256
10,13,0,0,0,0,0,0,0,0,0,0,0,0,48,336,0,0,336
11,15,0,0,0,0,0,0,0,0,0,0,0,0,8,376,0,0,376
12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
23,31,64,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
24,33,108,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
25,34,164,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
26,36,216,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
27,37,264,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
28,39,320,0,0,0,0,0,0,0,0,0,0,0,8,384,0,0,384
29,41,336,0,0,0,0,0,0,0,0,0,0,0,48,384,0,40,384
30,42,348,0,0,0,0,0,0,0,0,0,0,0,88,384,0,80,384
31,44,364,0,0,0,0,0,0,0,0,0,0,0,120,384,0,120,384
32,46,384,0,0,0,0,0,0,0,0,0,0,0,176,384,0,144,384
33,47,384,0,0,0,0,0,0,0,0,0,0,0,224,384,0,216,384
34,49,384,0,0,0,0,0,0,0,0,0,0,0,288,384,0,264,384
35,51,384,0,0,0,0,0,0,0,0,0,0,0,336,384,0,336,384
36,53,384,0,0,0,0,0,0,0,0,0,0,0,384,384,0,384,384
37,54,384,0,0,0,0,0,0,0,0,0,0,0,384,384,0,384,384
38,56,384,0,0,0,0,0,0,0,0,0,0,0,384,384,0,384,384
39,58,384,0,0,0,0,0,0,0,0,0,0,0,384,384,0,384,384
40,60,384,0,0,0,0,0,0,0,0,0,0,0,384,384,0,384,384
41,62,384,0,0,0,64,0,0,0,0,0,0,0,384,384,0,384,384
42,63,384,0,0,0,124,0,0,0,0,0,0,0,384,272,0,384,272
43,65,384,0,0,0,128,0,0,0,0,0,0,0,384,224,0,384,224
44,67,384,0,0,0,128,0,0,0,0,0,0,0,384,152,0,384,152
45,69,384,0,0,0,128,0,0,0,0,0,0,0,384,80,0,384,80
46,71,384,0,0,0,128,0,0,0,0,0,0,0,384,72,0,384,72
47,72,384,0,0,0,128,0,0,0,0,0,0,0,384,32,0,384,32
48,74,384,0,0,0,128,0,0,0,0,0,0,0,384,24,0,384,24
49,76,384,0,0,0,124,4,0,0,0,0,0,0,384,0,0,384,4
50,78,384,0,0,0,120,8,0,0,0,0,0,0,384,0,0,384,8
51,79,376,8,0,0,96,32,0,0,0,0,0,0,384,0,0,384,40
52,81,360,24,0,0,88,40,0,0,0,0,0,0,384,0,0,384,64
53,83,348,36,0,0,64,64,0,0,0,0,0,0,376,8,0,384,108
54,85,332,52,0,0,32,96,0,0,0,0,0,0,376,8,0,384,156
55,87,288,96,0,0,28,100,0,0,0,0,0,0,368,16,0,384,212
56,88,252,132,0,0,8,120,0,0,0,0,0,0,360,24,0,384,276
57,90,208,176,0,0,4,124,0,0,0,0,0,0,360,24,0,384,324
58,92,168,216,0,0,0,128,0,0,2,0,0,0,368,24,0,384,368
59,94,156,228,0,0,0,128,0,0,2,0,0,0,368,24,0,384,380
60,96,152,232,0,0,0,128,0,0,2,0,0,0,368,24,0,384,384
61,98,152,232,0,0,0,128,0,0,4,0,0,0,368,24,0,384,384
62,100,152,232,0,0,0,128,0,0,4,0,0,0,368,24,0,384,384
63,101,152,232,0,0,0,128,0,0,6,0,0,0,368,24,0,384,384
64,103,152,232,0,0,0,128,0,0,6,0,0,0,368,24,0,384,384
65,105,152,232,0,0,0,128,0,0,6,0,0,0,368,24,0,384,384
66,107,152,232,0,0,0,128,0,0,8,0,0,0,368,24,0,384,384
67,109,152,232,0,0,0,128,0,0,8,0,0,0,368,24,0,384,384
68,111,152,232,0,0,0,128,0,0,8,0,0,0,368,24,0,384,384
69,113,152,232,0,0,0,128,0,0,10,0,0,0,376,24,0,384,384
70,115,152,232,0,0,0,128,0,0,10,0,0,0,376,24,0,384,384
71,117,152,232,0,0,0,128,0,0,12,0,0,0,376,24,0,384,384
72,118,152,232,0,0,0,128,0,0,12,0,0,0,376,24,0,384,384
73,120,152,232,0,0,0,128,0,0,12,0,0,0,376,24,0,384,384
74,122,152,232,0,0,0,128,0,0,14,0,0,0,376,16,0,384,376
75,124,256,232,0,0,0,128,0,0,14,0,0,0,376,16,0,384,376
76,126,320,232,0,0,0,128,0,0,14,0,0,0,376,16,0,384,376
77,129,396,232,0,0,0,128,0,0,14,0,0,0,376,16,0,384,376
78,131,460,232,0,0,0,128,0,0,14,0,0,0,376,16,0,384,376
79,133,536,232,0,0,0,128,0,0,14,0,0,0,376,16,0,384,376
80,135,540,232,0,4,0,128,0,0,18,0,0,0,384,16,0,384,376
81,137,540,232,0,4,0,128,0,0,20,0,0,0,384,16,0,384,376
82,139,540,232,0,4,0,128,0,0,20,0,0,0,384,16,0,384,376
83,142,540,232,0,4,0,128,0,0,20,0,0,0,384,16,0,384,376
84,144,540,232,0,4,8,128,0,8,22,0,0,0,384,8,0,384,368
85,146,540,232,0,4,8,128,0,8,22,0,0,0,384,8,0,384,368
86,148,540,232,0,4,8,128,0,8,24,0,0,0,384,8,0,384,368
87,150,540,232,0,4,8,128,0,8,24,0,0,0,384,8,0,384,368
88,153,540,232,0,4,72,128,0,8,26,0,0,0,384,8,0,384,368
89,155,540,232,0,4,136,128,0,8,26,0,0,0,384,8,0,384,368
90,157,540,232,0,4,136,128,0,8,28,0,0,0,384,8,0,384,368
91,159,540,232,0,4,136,128,0,8,28,0,0,0,384,8,0,384,368
92,162,540,232,0,4,136,128,0,8,28,0,0,0,384,8,0,384,368
93,164,540,232,0,4,140,128,0,12,30,0,0,0,384,8,0,384,368
94,166,540,228,0,4,140,128,0,12,30,0,0,0,384,0,0,384,356
95,168,544,228,0,8,140,128,0,12,32,0,0,0,384,0,0,384,356
96,171,544,228,0,8,140,128,0,12,32,0,0,0,384,0,0,384,356
97,173,552,228,0,16,140,120,0,12,34,0,0,0,384,0,0,384,348
98,175,552,228,0,16,140,120,0,12,32,2,0,0,384,0,0,384,350
99,178,552,228,0,16,140,120,0,12,18,18,0,0,384,0,0,384,366
100,180,552,228,0,16,140,120,0,12,10,26,0,0,384,0,0,384,374
101,182,552,228,0,16,140,120,0,12,42,26,0,0,384,0,0,384,374
102,185,552,228,0,16,140,120,0,12,82,26,0,0,384,0,0,384,374
103,188,552,228,0,16,140,120,0,12,122,26,0,0,384,0,0,384,374
104,190,552,228,0,16,140,120,0,12,164,26,0,0,384,0,0,384,374
105,193,552,228,0,16,148,120,0,20,198,26,0,0,384,0,0,384,374
106,195,552,228,0,16,164,100,16,36,208,26,0,0,384,0,0,384,354
107,198,552,228,0,16,164,76,40,36,208,26,0,0,384,0,0,384,330
108,201,552,228,0,16,164,36,76,36,206,30,0,0,384,0,0,384,294
109,203,560,232,0,28,164,20,88,36,204,32,0,0,384,0,0,384,284
110,206,556,232,0,28,164,0,92,36,206,32,0,0,384,0,0,384,264
111,209,548,236,0,44,156,8,92,36,194,52,0,10,384,0,0,384,296
112,211,592,236,0,76,152,12,92,36,176,78,0,14,384,0,0,384,326
113,214,604,260,0,112,148,16,92,36,176,80,0,20,384,0,0,384,356
114,217,608,260,0,116,148,16,92,36,192,80,0,32,384,0,0,384,356
115,220,616,260,0,124,148,16,92,36,194,80,0,32,384,0,0,384,356
116,223,620,260,0,124,148,16,92,36,194,80,0,32,384,0,0,384,356
117,226,620,260,0,124,148,16,92,36,194,80,0,32,384,0,0,384,356
118,228,620,260,0,124,148,16,92,36,194,80,0,32,384,0,0,384,356
119,231,620,256,0,124,148,16,92,36,194,80,0,32,384,0,0,384,352
120,234,620,248,0,124,148,16,92,36,194,80,0,32,384,0,0,384,344
121,237,620,248,0,124,148,16,92,36,194,80,0,32,384,0,0,384,344
122,239,620,224,0,124,148,16,92,36,194,56,22,32,384,0,0,384,296
123,242,620,204,0,124,148,16,92,36,194,54,22,32,384,0,0,384,274
124,245,620,196,0,124,148,16,92,36,194,52,22,32,384,0,0,384,264
125,248,620,184,0,124,132,32,92,36,192,46,24,32,384,0,0,384,262
126,250,612,192,0,124,112,52,92,36,190,40,26,32,384,0,0,384,284
127,253,600,200,0,124,92,72,92,36,184,40,26,32,384,0,0,384,312
128,256,600,180,0,124,88,76,92,36,180,40,26,32,384,0,0,384,296
129,259,588,180,4,124,72,92,92,36,178,38,26,32,384,0,0,384,310
130,261,576,176,20,124,68,96,92,36,168,46,28,32,384,0,0,384,318
131,264,564,164,40,124,68,96,92,36,160,48,34,32,384,0,0,384,308
132,267,564,144,60,124,64,100,92,36,158,46,38,32,384,0,0,384,290
133,270,548,132,88,124,64,100,92,36,152,48,42,32,384,0,0,384,280
134,272,528,132,108,124,64,100,92,36,144,52,46,32,384,0,0,384,284
135,275,512,132,124,124,64,100,92,36,140,54,48,32,384,0,0,384,286
136,278,472,172,124,124,64,100,92,36,136,58,48,32,384,0,0,384,330
137,281,436,204,128,124,64,100,92,36,132,62,48,32,384,0,0,384,366
138,284,424,216,128,124,64,100,92,36,130,64,48,32,384,0,0,384,380
139,286,420,220,128,124,64,100,92,36,130,64,48,32,384,0,0,384,384
140,289,420,220,128,124,64,100,92,36,130,64,48,32,384,0,0,384,384
141,292,420,220,128,124,64,100,92,36,130,64,48,32,384,0,0,384,384
142,295,420,220,128,124,64,100,92,36,130,64,48,32,384,0,0,384,384
143,297,420,220,128,124,64,100,92,36,130,64,48,32,384,0,0,384,384
144,300,420,220,128,124,64,100,92,36,130,64,48,32,384,0,0,384,384
145,303,420,220,128,124,64,100,92,36,130,64,48,32,384,0,0,384,384
146,306,420,220,128,124,64,100,92,36,128,62,52,32,384,0,0,384,382
147,309,420,220,128,124,64,100,92,36,128,56,58,32,384,0,0,384,376
148,312,420,220,128,124,64,100,92,36,128,46,68,32,384,0,0,384,366
149,314,420,220,128,124,64,100,92,36,128,46,68,32,384,0,0,384,366
150,317,404,236,128,124,64,100,92,36,126,46,70,32,384,0,0,384,382
151,320,404,236,128,124,64,100,92,36,126,30,86,32,384,0,0,384,366
152,323,404,236,128,124,64,88,104,36,126,28,88,32,384,0,0,384,352
153,325,404,240,128,132,64,84,108,36,126,24,92,32,384,0,0,384,348
154,328,396,268,128,132,64,84,108,36,124,22,96,32,384,0,0,384,374
155,331,392,272,128,132,64,84,108,36,124,8,110,32,384,0,0,384,364
156,334,392,272,128,132,64,84,108,36,124,8,110,32,384,0,0,384,364
157,337,420,276,128,160,64,84,108,36,124,8,110,32,384,0,0,384,368
158,340,420,276,128,160,64,84,108,36,124,6,112,32,384,0,0,384,366
159,343,420,276,128,160,64,84,108,36,124,6,112,32,384,0,0,384,366
160,346,420,276,128,160,64,84,108,36,124,6,112,32,384,0,0,384,366
161,349,428,276,128,168,64,84,108,36,124,6,112,32,384,0,0,384,366
162,351,428,276,128,168,64,84,108,36,124,6,112,32,384,0,0,384,366
163,354,428,276,128,168,64,84,108,36,124,6,112,32,384,0,0,384,366
164,357,428,252,128,168,64,84,108,36,124,6,112,32,384,0,0,384,342
165,360,428,252,128,168,64,84,108,36,120,10,112,32,384,0,0,384,346
166,363,428,252,128,168,64,84,108,36,120,10,112,32,384,0,0,384,346
167,366,428,252,128,168,64,76,116,36,108,22,112,32,384,0,0,384,350
168,369,424,252,128,168,64,48,144,36,98,32,112,32,384,0,0,384,332
169,372,456,252,128,172,60,24,172,36,98,30,114,32,384,0,0,384,306
170,374,452,248,128,172,60,16,180,36,98,30,114,32,384,0,0,384,294
171,377,436,256,128,172,56,20,180,36,98,30,114,32,384,0,0,384,306
172,380,436,248,128,184,56,16,184,36,98,28,116,32,384,0,0,384,292
173,383,448,244,136,184,44,20,192,36,98,28,116,32,384,0,0,384,292
174,386,436,252,136,184,44,20,192,36,98,28,116,32,384,0,0,384,300
175,389,428,256,140,184,32,32,192,36,98,26,118,32,384,0,0,384,314
176,392,416,260,148,184,20,44,192,36,98,26,118,32,384,0,0,384,330
177,395,400,276,148,184,8,56,192,36,92,32,118,32,384,0,0,384,364
178,398,400,276,148,184,0,64,192,36,80,44,118,32,384,0,0,384,384
179,401,400,256,148,184,0,64,192,36,80,44,118,32,384,0,0,384,364
180,404,392,252,148,184,0,64,192,36,80,44,118,32,384,0,0,384,360
181,407,388,252,148,184,0,64,192,36,80,44,118,32,384,0,0,384,360
182,409,372,268,148,184,0,64,192,36,76,48,118,32,384,0,0,384,380
183,412,368,252,148,184,0,64,192,36,76,48,118,32,384,0,0,384,364
184,415,348,272,148,184,0,64,192,36,76,48,118,32,384,0,0,384,384
185,418,348,272,148,184,0,64,192,36,76,48,118,32,384,0,0,384,384
186,421,348,272,148,184,0,64,192,36,76,44,122,32,384,0,0,384,380
187,424,348,276,148,184,0,64,192,36,76,38,128,32,384,0,0,384,378
188,427,352,268,156,184,0,64,192,36,76,30,136,32,384,0,0,384,362
189,430,352,260,164,184,0,64,192,36,76,22,144,32,384,0,0,384,346
190,433,340,264,172,184,0,64,192,36,76,22,144,32,384,0,0,384,350
191,436,344,264,176,192,0,64,192,36,70,28,144,32,384,0,0,384,356
192,439,332,268,188,192,0,64,192,36,66,32,144,32,384,0,0,384,364
193,442,324,268,196,192,0,64,192,36,66,32,144,32,384,0,0,384,364
194,445,316,264,208,192,0,64,192,36,66,32,144,32,384,0,0,384,360
195,448,312,256,220,192,0,64,192,36,66,32,144,32,384,0,0,384,352
196,451,304,248,236,192,0,64,192,36,54,44,144,32,384,0,0,384,356
197,454,300,248,240,192,0,64,192,36,42,56,144,32,384,0,0,384,368
198,457,288,244,248,192,0,64,192,36,42,48,152,32,384,0,0,384,356
199,460,284,224,272,192,0,64,192,36,38,46,158,32,384,0,0,384,334
200,463,268,232,280,192,0,64,192,36,32,48,162,32,384,0,0,384,344
201,466,260,232,288,192,0,64,192,36,32,48,162,32,384,0,0,384,344
202,469,252,224,292,192,0,64,192,36,30,48,164,32,384,0,0,384,336
203,472,240,236,292,192,0,64,192,36,18,58,166,32,384,0,0,384,358
204,475,232,240,296,192,0,64,192,36,14,62,166,32,384,0,0,384,366
205,478,228,244,296,192,0,64,192,36,6,70,166,32,384,0,0,384,378
206,481,224,248,296,192,0,64,192,36,4,72,166,32,384,0,0,384,384
207,484,224,248,296,192,0,64,192,36,4,72,166,32,384,0,0,384,384
208,487,224,248,296,192,0,64,192,36,4,72,166,32,384,0,0,384,384
209,490,224,248,296,192,0,64,192,36,4,72,166,32,384,0,0,384,384
210,493,224,248,296,192,0,60,196,36,4,72,166,32,384,0,0,384,380
211,496,220,252,296,192,0,56,200,36,4,72,166,32,384,0,0,384,380
212,499,220,244,304,192,0,56,200,36,4,64,174,32,384,0,0,384,364
213,502,204,260,304,192,0,56,200,36,0,66,176,32,384,0,0,384,382
214,505,204,260,304,192,0,36,220,36,0,66,176,32,384,0,0,384,362
215,508,204,260,304,192,0,16,240,36,0,66,176,32,384,0,0,384,342
