experiment,run,tenant,total cores,total queue time,avg queue time,total job run time,total queue + job run time,workflow run time (makespan)
E5,1,backfill,384,31280,652,17280,48560,1119
E5,1,tenant1,768,47590,248,34563,82153,716
E5,1,tenant2,256,5689,89,7683,13372,497
E5,1,tenant3,242,23041,190,7260,30301,524
E5,2,backfill,384,30723,640,17280,48003,1084
E5,2,tenant1,768,45894,239,34564,80458,684
E5,2,tenant2,256,5523,86,7680,13203,486
E5,2,tenant3,242,16036,133,7260,23296,471
E5,3,backfill,384,31750,661,17280,49030,1112
E5,3,tenant1,768,48414,252,34561,82975,716
E5,3,tenant2,256,7800,122,7682,15482,515
E5,3,tenant3,242,20488,169,7264,27752,525
E5,4,backfill,384,31406,654,17280,48686,1121
E5,4,tenant1,768,46676,243,34561,81237,719
E5,4,tenant2,256,9403,147,7680,17083,519
E5,4,tenant3,242,23163,191,7263,30426,518
E5,5,backfill,384,31729,661,17282,49011,1114
E5,5,tenant1,768,48080,250,34563,82643,713
E5,5,tenant2,256,9533,149,7680,17213,577
E5,5,tenant3,242,18360,152,7261,25621,509
