,timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted,backfill_pending,backfill_running,backfill_completed,backfill_preempted,all_running
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0
2,3,0,0,0,0,0,0,0,0,0,0,0,0,248,0,0,0,0
3,4,0,0,0,0,0,0,0,0,0,0,0,0,328,0,0,0,0
4,5,0,0,0,0,0,0,0,0,0,0,0,0,376,8,0,0,8
5,7,0,0,0,0,0,0,0,0,0,0,0,0,336,48,0,0,48
6,8,0,0,0,0,0,0,0,0,0,0,0,0,264,120,0,0,120
7,9,0,0,0,0,0,0,0,0,0,0,0,0,216,168,0,0,168
8,11,0,0,0,0,0,0,0,0,0,0,0,0,152,232,0,0,232
9,12,0,0,0,0,0,0,0,0,0,0,0,0,72,312,0,0,312
10,13,0,0,0,0,0,0,0,0,0,0,0,0,16,368,0,0,368
11,15,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
12,16,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
15,20,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
16,22,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
17,23,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
18,24,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
19,26,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
22,30,0,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
23,31,60,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
24,33,108,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
25,34,164,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
26,36,216,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
27,38,268,0,0,0,0,0,0,0,0,0,0,0,0,384,0,0,384
28,39,320,0,0,0,0,0,0,0,0,0,0,0,8,384,0,0,384
29,41,348,0,0,0,0,0,0,0,0,0,0,0,40,384,0,24,384
30,43,384,0,0,0,0,0,0,0,0,0,0,0,48,384,0,48,384
31,44,384,0,0,0,0,0,0,0,0,0,0,0,120,384,0,104,384
32,46,384,0,0,0,0,0,0,0,0,0,0,0,168,384,0,168,384
33,48,384,0,0,0,0,0,0,0,0,0,0,0,176,384,0,176,384
34,49,384,0,0,0,0,0,0,0,0,0,0,0,176,384,0,176,384
35,51,384,0,0,0,0,0,0,0,0,0,0,0,176,384,0,176,384
36,53,384,0,0,0,0,0,0,0,0,0,0,0,176,384,0,176,384
37,55,384,0,0,0,0,0,0,0,0,0,0,0,176,384,0,176,384
38,56,384,0,0,0,0,0,0,0,0,0,0,0,176,384,0,176,384
39,58,384,0,0,0,0,0,0,0,0,0,0,0,176,384,0,176,384
40,60,384,0,0,0,0,0,0,0,0,0,0,0,176,384,0,176,384
41,61,384,0,0,0,60,0,0,0,0,0,0,0,176,384,0,176,384
42,63,384,0,0,0,120,0,0,0,0,0,0,0,176,296,0,176,296
43,65,384,0,0,0,128,0,0,0,0,0,0,0,192,256,0,200,256
44,67,384,0,0,0,128,0,0,0,0,0,0,0,232,240,0,240,240
45,69,384,0,0,0,128,0,0,0,0,0,0,0,248,232,0,248,232
46,70,384,0,0,0,128,0,0,0,0,0,0,0,248,216,0,248,216
47,72,384,0,0,0,128,0,0,0,0,0,0,0,248,216,0,248,216
48,74,384,0,0,0,128,0,0,0,0,0,0,0,264,208,0,264,208
49,76,376,8,0,0,128,0,0,0,0,0,0,0,280,208,0,280,216
50,77,376,8,0,0,128,0,0,0,0,0,0,0,288,208,0,296,216
51,79,376,8,0,0,128,0,0,0,0,0,0,0,312,208,0,312,216
52,81,376,8,0,0,128,0,0,0,0,0,0,0,312,208,0,312,216
53,83,376,8,0,0,128,0,0,0,0,0,0,0,320,208,0,328,216
