experiment,run,tenant,total cores,total queue time,avg queue time,total job run time,total queue + job run time,workflow run time (makespan)
E5,1,backfill,384,18203,379,17281,35484,1068
E5,1,tenant1,768,59529,310,34564,94093,775
E5,1,tenant2,256,9369,146,7680,17049,437
E5,1,tenant3,242,16253,134,7261,23514,418
E5,2,backfill,384,18127,378,17282,35409,1058
E5,2,tenant1,768,59136,308,34561,93697,777
E5,2,tenant2,256,9199,144,7680,16879,432
E5,2,tenant3,242,16558,137,7260,23818,417
E5,3,backfill,384,18286,381,17285,35571,1068
E5,3,tenant1,768,59491,310,34561,94052,774
E5,3,tenant2,256,9239,144,7683,16922,443
E5,3,tenant3,242,16340,135,7262,23602,420
E5,4,backfill,384,18042,376,17281,35323,1054
E5,4,tenant1,768,58760,306,34562,93322,773
E5,4,tenant2,256,8894,139,7683,16577,432
E5,4,tenant3,242,15965,132,7264,23229,412
E5,5,backfill,384,18098,377,17280,35378,1067
E5,5,tenant1,768,59207,308,34564,93771,775
E5,5,tenant2,256,9123,143,7680,16803,435
E5,5,tenant3,242,16428,136,7263,23691,414
