timestamp,tenant1_pending,tenant1_running,tenant1_completed,tenant1_preempted,tenant2_pending,tenant2_running,tenant2_completed,tenant2_preempted,tenant3_pending,tenant3_running,tenant3_completed,tenant3_preempted
0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0,0,0,2,0,0,0,2,0,0,0
2,6,0,0,0,4,0,0,0,2,0,0,0
3,8,0,0,0,4,0,0,0,4,0,0,0
4,8,2,0,0,4,2,0,0,2,2,0,0
6,8,4,0,0,4,2,0,0,2,2,0,0
7,8,6,0,0,4,4,0,0,4,2,0,0
8,6,10,0,0,4,4,0,0,2,4,0,0
9,8,10,0,0,4,6,0,0,2,4,0,0
10,10,12,0,0,6,6,0,0,2,6,0,0
11,8,16,0,0,4,8,0,0,2,6,0,0
13,10,16,0,0,6,8,0,0,4,6,0,0
14,8,20,0,0,2,12,0,0,2,8,0,0
15,6,24,0,0,4,12,0,0,2,8,0,0
16,6,26,0,0,4,14,0,0,2,10,0,0
17,8,28,0,0,4,14,0,0,2,10,0,0
19,8,30,0,0,4,16,0,0,4,10,0,0
20,6,34,0,0,2,18,0,0,2,12,0,0
21,6,36,0,0,4,18,0,0,4,12,0,0
22,8,38,0,0,4,20,0,0,2,14,0,0
24,8,40,0,0,4,20,0,0,2,14,0,0
25,8,42,0,0,4,22,0,0,2,16,0,0
26,6,46,0,0,4,24,0,0,2,16,0,0
28,8,48,0,0,4,24,0,0,4,16,0,0
29,8,50,0,0,4,26,0,0,2,18,0,0
30,6,54,0,0,2,28,0,0,4,18,0,0
32,8,56,0,0,4,28,0,0,4,18,0,0
33,8,58,0,0,4,30,0,0,2,20,0,0
34,8,60,0,0,4,30,0,0,4,20,0,0
36,8,64,0,0,4,32,0,0,2,22,0,0
37,8,66,0,0,4,34,0,0,2,24,0,0
39,8,68,0,0,2,36,0,0,2,24,0,0
40,8,72,0,0,4,36,0,0,4,24,0,0
41,6,76,0,0,4,38,0,0,2,26,0,0
43,6,78,0,0,4,40,0,0,4,26,0,0
44,6,82,0,0,4,40,0,0,2,28,0,0
46,6,84,0,0,4,42,0,0,4,28,0,0
47,8,86,0,0,4,44,0,0,2,30,0,0
49,6,90,0,0,2,46,0,0,4,30,0,0
50,8,92,0,0,4,46,0,0,2,32,0,0
52,6,96,0,0,4,48,0,0,2,32,0,0
53,6,98,0,0,4,50,0,0,2,34,0,0
55,8,100,0,0,4,50,0,0,2,34,0,0
56,6,104,0,0,4,52,0,0,2,36,0,0
58,8,106,0,0,4,54,0,0,2,36,0,0
59,4,112,0,0,4,56,0,0,2,38,0,0
61,8,112,0,0,4,56,0,0,2,38,0,0
62,6,114,0,0,2,58,0,0,0,40,0,0
64,2,118,0,0,0,60,0,0,0,40,0,0
65,0,120,0,0,0,60,0,0,0,40,0,0
67,0,120,0,0,0,58,2,0,0,38,2,0
68,0,114,6,0,0,56,4,0,0,38,2,0
70,0,112,8,0,0,56,4,0,0,36,4,0
72,0,108,12,0,0,54,6,0,0,36,4,0
73,0,106,14,0,0,52,8,0,0,34,6,0
75,0,102,18,0,0,50,10,0,0,34,6,0
76,0,100,20,0,0,50,10,0,0,32,8,0
78,0,96,24,0,0,48,12,0,0,32,8,0
79,0,94,26,0,0,46,14,0,0,30,10,0
81,0,90,30,0,0,44,16,0,0,30,10,0
83,0,88,32,0,0,44,16,0,0,28,12,0
84,0,84,36,0,0,42,18,0,0,28,12,0
86,0,82,38,0,0,40,20,0,0,26,14,0
87,0,76,44,0,0,38,22,0,0,26,14,0
89,0,76,44,0,0,36,24,0,0,24,16,0
90,0,72,48,0,0,34,26,0,0,22,18,0
92,0,68,52,0,0,34,26,0,0,22,18,0
94,0,64,56,0,0,32,28,0,0,20,20,0
95,0,62,58,0,0,30,30,0,0,20,20,0
97,0,58,62,0,0,28,32,0,0,18,22,0
98,0,56,64,0,0,26,34,0,0,18,22,0
100,0,52,68,0,0,26,34,0,0,16,24,0
102,0,50,70,0,0,24,36,0,0,16,24,0
103,0,46,74,0,0,22,38,0,0,14,26,0
105,0,44,76,0,0,20,40,0,0,14,26,0
106,0,40,80,0,0,20,40,0,0,12,28,0
108,0,36,84,0,0,18,42,0,0,12,28,0
109,0,34,86,0,0,16,44,0,0,10,30,0
111,0,30,90,0,0,16,44,0,0,10,30,0
113,0,28,92,0,0,14,46,0,0,8,32,0
114,0,24,96,0,0,12,48,0,0,8,32,0
116,0,22,98,0,0,10,50,0,0,6,34,0
117,0,16,104,0,0,8,52,0,0,6,34,0
119,0,16,104,0,0,6,54,0,0,4,36,0
121,0,10,110,0,0,6,54,0,0,2,38,0
122,0,8,112,0,0,4,56,0,0,2,38,0
124,0,6,114,0,0,2,58,0,0,0,40,0
125,0,4,116,0,0,0,60,0,0,0,40,0
127,0,0,120,0,0,0,60,0,0,0,40,0
